state,year,GISJOIN,FIPS,total_state_pop,ag_reconnect,airport_infrastructure,airport_terminal,asap,bridge,buses,capital_investment,clean_school_bus,doe_nuclear,doi_aging_infra,doi_rural_water,doi_water_recycle,doi_water_storage,ferry_rural_comms,fra_rail_cross,fs_wildfire,fta_rail_vehicle,indian_water,infra,low_no_emission,natural_gas,ntia_middle_mile,ports,raise,reconnect_community,rural_surface,safe_streets,tribal_broadband,usace,cdbg_entitlement,coc,home,public_hsg,public_hsg_cap,elderly,hcv,s8_project,fy_2022_ttp,fta_5307_5340,fta_5310,fta_5339,fta_5329_e,fhwa_nhpp,fhwa_stp,fhwa_safety,fhwa_railway,fhwa_cmaq,fhwa_metro_plan,fhwa_highway_freight,fhwa_carbon,fhwa_protect,fhwa_bridge,fhwa_ev,fhwa_app,doe_bead_initial,doe_weatherization,nhtsa,fmcsa_21,fta_5305_combined,fta_5311_combined,fta_5337_combined,dwsrf_lead_combined,cwsrf_general_combined,dwsrf_general_combined,dwsrf_emerging_combined,cwsrf_emerging_combined
AL,2022,G010,1,4893186,0.714285714,NA,0.341463415,NA,NA,NA,NA,0.745098039,NA,NA,NA,NA,NA,NA,0.903225806,NA,NA,NA,NA,0.756097561,0.833333333,0.636363636,NA,0.333333333,0.225806452,NA,0.142857143,NA,NA,0.490196078,0.176470588,0.196078431,0.901960784,0.921568627,0.509803922,0.411764706,0.901960784,0.277777778,0.117647059,0.239130435,0.117647059,NA,0.7,0.7,0.7,0.6,0.02,0.1,0.68,0.7,0.7,0.137254902,0.68627451,0.9,0.450980392,0.24,0.352941176,0.68627451,0.098039216,0.98,NA,0.647058824,0.254901961,0.647058824,0.647058824,0.254901961
AK,2022,G020,2,736990,1,NA,0.487804878,NA,0.833333333,0.896551724,NA,0.098039216,NA,NA,NA,NA,NA,1,NA,0.523809524,NA,NA,NA,0.853658537,NA,1,1,1,0.870967742,0.727272727,0.795918367,1,1,0.019607843,0.647058824,0.843137255,0.705882353,0.294117647,0.764705882,0.666666667,0.039215686,1,0.843137255,0.152173913,0.960784314,NA,1,1,1,0.82,1,0.98,1,1,1,0.941176471,1,NA,0.941176471,0.98,0.882352941,0.862745098,0.941176471,0.74,0.976744186,0.960784314,0.960784314,0.960784314,0.960784314,0.960784314
AZ,2022,G040,4,7174064,0.25,NA,0.317073171,NA,0.166666667,NA,0.904761905,0.333333333,NA,0.272727273,NA,NA,0.25,NA,NA,0.142857143,NA,0.4,0.363636364,0.731707317,NA,0.575757576,NA,0.607843137,0.193548387,NA,0.285714286,0.565217391,0.5,0.274509804,0.62745098,0.156862745,0.058823529,0.039215686,0.156862745,0.078431373,0.019607843,0.833333333,0.549019608,0.826086957,0.411764706,0.413793103,0.14,0.14,0.18,0.14,0.48,0.28,0.16,0.14,0.14,0.058823529,0.176470588,NA,0.254901961,0.08,0.039215686,0,0.647058824,0.12,0.348837209,0.196078431,0,0.196078431,0.196078431,0
AR,2022,G050,5,3011873,0.535714286,0.705882353,0.756097561,NA,NA,NA,NA,0.274509804,NA,NA,NA,NA,NA,NA,0.096774194,NA,NA,NA,NA,0,NA,NA,0.333333333,0.568627451,0.806451613,NA,0.326530612,NA,0.71875,0.450980392,0,0.529411765,0.529411765,0.725490196,0.647058824,0.274509804,0.098039216,NA,0.039215686,0.130434783,0.431372549,0.379310345,0.8,0.8,0.8,0.78,0.2,0.06,0.78,0.8,0.8,0.509803922,0.784313725,NA,0.647058824,0.4,0.647058824,0.764705882,0,0.58,0.139534884,0.68627451,0.235294118,0.68627451,0.68627451,0.235294118
CA,2022,G060,6,39346023,0.071428571,0.176470588,0.390243902,NA,0.875,0.137931034,0.761904762,0.352941176,NA,0.545454545,NA,1,0.75,NA,0.548387097,0.80952381,0,NA,0.272727273,0.804878049,NA,0.363636364,0.476190476,0.098039216,0.903225806,0.090909091,0.714285714,0.217391304,0.28125,0.607843137,0.882352941,0.823529412,0.078431373,0.078431373,0.745098039,0.921568627,0.764705882,0.444444444,0.803921569,0.804347826,0.490196078,0.448275862,0.04,0.04,0.04,0.08,0.82,0.7,0.08,0.04,0.04,0.392156863,0.098039216,NA,0,0.04,0.450980392,0.039215686,0.764705882,0,0.76744186,0.117647059,0.156862745,0.117647059,0.117647059,0.156862745
CO,2022,G080,8,5684926,0.392857143,0.235294118,0.926829268,NA,0.416666667,0.793103448,0.333333333,0.078431373,NA,0.181818182,NA,NA,1,NA,0.064516129,0.428571429,NA,0,0.772727273,0.146341463,0,0.03030303,NA,0.529411765,NA,NA,0.469387755,0.782608696,NA,0.039215686,0.470588235,0.058823529,0.254901961,0.176470588,0.254901961,0.68627451,0.588235294,0.333333333,0.705882353,0.586956522,0.529411765,0.724137931,0.1,0.1,0.08,0.26,0.56,0.46,0.1,0.1,0.1,0.098039216,0.117647059,NA,0.392156863,0.54,0.333333333,0.333333333,0.529411765,0.22,0.488372093,0.529411765,0.019607843,0.529411765,0.529411765,0.019607843
CT,2022,G090,9,3570549,NA,NA,0.707317073,0.625,0.958333333,0.724137931,NA,0.450980392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.722222222,NA,0.666666667,0.647058824,NA,NA,0.306122449,NA,0.5625,0.745098039,0.980392157,0.803921569,0.843137255,0.823529412,0.843137255,0.941176471,0.784313725,0.166666667,0.921568627,0.891304348,0.666666667,NA,0.52,0.52,0.6,0.04,0.86,0.74,0.56,0.52,0.52,0.745098039,0.568627451,NA,0.549019608,0.44,0.764705882,0.137254902,0.568627451,0.2,0.860465116,0.294117647,0.509803922,0.294117647,0.294117647,0.509803922
DE,2022,G100,10,967679,NA,NA,NA,NA,NA,1,NA,0.156862745,NA,NA,NA,NA,NA,NA,0.580645161,NA,NA,NA,NA,NA,NA,NA,NA,0.411764706,NA,NA,0.06122449,NA,NA,0.31372549,0.68627451,0.784313725,0.68627451,0.450980392,0.31372549,0.431372549,0.607843137,NA,0.784313725,0.652173913,0.901960784,NA,0.78,0.78,0.78,0.76,0.84,0.88,0.8,0.78,0.78,0.803921569,0.803921569,NA,0.882352941,0.34,0.862745098,0.666666667,0.843137255,0.6,0.837209302,0.901960784,0.784313725,0.901960784,0.901960784,0.784313725
DC,2022,G110,11,701974,NA,NA,NA,NA,NA,NA,NA,0.960784314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.902439024,NA,NA,NA,0.862745098,NA,NA,NA,NA,0.4375,1,1,1,1,0.960784314,0.862745098,1,0.960784314,NA,0.960784314,0.108695652,0.588235294,1,0.86,0.86,0.86,0.84,0.94,0.94,0.86,0.86,0.86,0.960784314,0.862745098,NA,0.960784314,0.48,0.921568627,0.843137255,0.960784314,NA,0.813953488,0.882352941,0.725490196,0.882352941,0.803921569,0.529411765
FL,2022,G120,12,21216924,NA,NA,0.43902439,NA,NA,NA,0.095238095,0.137254902,NA,NA,NA,NA,NA,NA,0.387096774,NA,0.2,NA,0.045454545,0.365853659,0.222222222,0,0.238095238,0.156862745,0.387096774,NA,0.673469388,NA,0.8125,0.117647059,0.392156863,0.098039216,0.274509804,0.196078431,0.607843137,0.588235294,0.176470588,0.055555556,0.607843137,0.934782609,0.176470588,0.068965517,0.08,0.08,0.1,0.16,0,0.52,0.04,0.08,0.08,0,0.058823529,NA,0.039215686,0,0,0.058823529,0.666666667,0.04,0.441860465,0,0.039215686,0,0,0.039215686
GA,2022,G130,13,10516579,0.178571429,NA,0.56097561,NA,0.208333333,NA,0,0.803921569,NA,NA,NA,NA,NA,NA,0.161290323,0.047619048,NA,NA,NA,0.634146341,0.277777778,0.212121212,NA,0.235294118,0.419354839,NA,0.734693878,NA,0.375,0.294117647,0.352941176,0.294117647,0.549019608,0.509803922,0.37254902,0.568627451,0.490196078,NA,0.490196078,0.434782609,0.019607843,0.482758621,0.4,0.4,0.42,0.4,0.44,0.2,0.4,0.4,0.4,0.039215686,0.411764706,0,0.137254902,0.12,0.137254902,0.450980392,0.392156863,0.66,0.604651163,0.098039216,0.078431373,0.098039216,0.098039216,0.078431373
HI,2022,G150,15,1420074,NA,0.941176471,0.804878049,NA,NA,0.827586207,NA,0.607843137,NA,NA,NA,0.4,NA,NA,NA,0.476190476,NA,NA,NA,1,NA,0.96969697,0.952380952,0.921568627,NA,NA,NA,0.826086957,NA,0.529411765,0.843137255,0.509803922,0.823529412,0.764705882,0.588235294,0.901960784,0.450980392,0.416666667,0.862745098,0.695652174,0.921568627,0.862068966,0.32,0.32,0.32,0.42,0.5,0.68,0.3,0.32,0.32,0.882352941,0.31372549,NA,0.784313725,0.02,0.784313725,0.156862745,0.490196078,0.44,0.279069767,0.784313725,0.803921569,0.784313725,0.784313725,0.803921569
ID,2022,G160,16,1754367,0.357142857,1,0.12195122,NA,NA,0.034482759,NA,0.490196078,NA,0.818181818,NA,0.6,NA,NA,0.967741935,0.666666667,NA,0.2,NA,0.87804878,NA,0.545454545,NA,0.784313725,NA,NA,0.204081633,NA,0.3125,0.137254902,0.156862745,0.176470588,0,0,0.058823529,0.039215686,0.117647059,0.611111111,0.274509804,0.043478261,0.764705882,NA,0.72,0.72,0.74,0.64,0.52,0.44,0.76,0.72,0.72,0.62745098,0.764705882,NA,0.764705882,0.68,0.509803922,0.745098039,0.294117647,0.56,NA,0.764705882,0.392156863,0.764705882,0.764705882,0.392156863
IL,2022,G170,17,12716164,0.428571429,NA,0.243902439,1,0.916666667,0.517241379,0.714285714,0.725490196,NA,NA,NA,NA,NA,NA,0.64516129,NA,1,NA,0.409090909,0.43902439,NA,0.181818182,0,0.450980392,0.032258065,NA,0.183673469,NA,0.90625,0.823529412,0.784313725,0.725490196,0.862745098,0.803921569,0.960784314,0.784313725,0.62745098,NA,0.823529412,0.760869565,0.31372549,0.827586207,0.22,0.22,0.2,0.48,0.68,0.78,0.22,0.22,0.22,0.588235294,0.235294118,NA,0.098039216,0.64,0.196078431,0.254901961,0.725490196,0.1,0.88372093,0.37254902,0.529411765,0.37254902,0.37254902,0.549019608
