state,year,GISJOIN,FIPS,total_state_pop,ag_reconnect,airport_infrastructure,airport_terminal,asap,bridge,buses,capital_investment,clean_school_bus,doe_nuclear,doi_aging_infra,doi_rural_water,doi_water_recycle,doi_water_storage,ferry_rural_comms,fra_rail_cross,fs_wildfire,fta_rail_vehicle,indian_water,infra,low_no_emission,natural_gas,ntia_middle_mile,ports,raise,reconnect_community,rural_surface,safe_streets,tribal_broadband,usace,cdbg_entitlement,coc,home,public_hsg,public_hsg_cap,elderly,hcv,s8_project,fy_2022_ttp,fta_5307_5340,fta_5310,fta_5339,fta_5329_e,fhwa_nhpp,fhwa_stp,fhwa_safety,fhwa_railway,fhwa_cmaq,fhwa_metro_plan,fhwa_highway_freight,fhwa_carbon,fhwa_protect,fhwa_bridge,fhwa_ev,fhwa_app,doe_bead_initial,doe_weatherization,nhtsa,fmcsa_21,fta_5305_combined,fta_5311_combined,fta_5337_combined,dwsrf_lead_combined,cwsrf_general_combined,dwsrf_general_combined,dwsrf_emerging_combined,cwsrf_emerging_combined
IN,2022,G180,18,6696893,NA,NA,0.414634146,NA,NA,0.586206897,0.857142857,0.117647059,NA,NA,NA,NA,NA,NA,0.774193548,NA,NA,NA,NA,0.097560976,0.333333333,0.272727273,NA,0.058823529,0.451612903,NA,0.102040816,NA,NA,0.666666667,0.31372549,0.470588235,0.294117647,0.392156863,0.568627451,0.137254902,0.509803922,0.027777778,0.450980392,0.565217391,0.215686275,NA,0.58,0.58,0.58,0.72,0.46,0.24,0.58,0.58,0.58,0.176470588,0.588235294,NA,0.31372549,0.58,0.411764706,0.529411765,0.31372549,0.32,0.627906977,0.137254902,0.549019608,0.137254902,0.137254902,0.568627451
IA,2022,G190,19,3150011,0.214285714,NA,0.853658537,NA,0.333333333,0.862068966,NA,0.647058824,NA,NA,0.2,NA,NA,NA,0.709677419,NA,NA,NA,NA,0.317073171,NA,0.878787879,NA,0.509803922,0.64516129,NA,0.836734694,0.086956522,NA,0.784313725,0.215686275,0.411764706,0.098039216,0.137254902,0.039215686,0.117647059,0.274509804,0.138888889,0.333333333,0.065217391,0.509803922,NA,0.68,0.68,0.62,0.86,0.14,0.12,0.7,0.68,0.68,0.68627451,0.705882353,NA,0.607843137,0.8,0.529411765,0.823529412,0.039215686,0.54,0.023255814,0.705882353,0.607843137,0.705882353,0.705882353,0.62745098
KS,2022,G200,20,2912619,0.107142857,NA,0.365853659,NA,NA,NA,NA,0.431372549,NA,0.727272727,NA,NA,NA,NA,0.870967742,NA,NA,NA,NA,0.487804878,0.166666667,0.818181818,NA,0.764705882,0.516129032,NA,0.591836735,0.260869565,NA,0.470588235,0.137254902,0.31372549,0.470588235,0.568627451,0.117647059,0,0.31372549,0.361111111,0.254901961,0.260869565,0.549019608,NA,0.48,0.48,0.3,0.96,0.12,0.16,0.48,0.48,0.48,0.450980392,0.490196078,NA,0.68627451,0.46,0.607843137,0.803921569,0.196078431,0.48,0.093023256,0.62745098,0.470588235,0.62745098,0.62745098,0.470588235
KY,2022,G210,21,4461952,0.464285714,NA,0,NA,1,0.413793103,NA,0.843137255,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.318181818,0.390243902,NA,NA,0.047619048,0.215686275,0,NA,0.87755102,NA,0.9375,0.647058824,0.568627451,0.745098039,0.745098039,0.862745098,0.450980392,0.470588235,0.529411765,NA,0.196078431,0.195652174,0.274509804,NA,0.62,0.62,0.64,0.44,0.1,0.02,0.6,0.62,0.62,0.549019608,0.607843137,0.7,0.490196078,0.6,0.31372549,0.568627451,0.058823529,0.96,0,0.588235294,0.411764706,0.588235294,0.588235294,0.411764706
LA,2022,G220,22,4664616,NA,0.470588235,0.292682927,NA,0,NA,NA,0.921568627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.681818182,0.268292683,1,0.060606061,0.380952381,0.705882353,0.161290323,0.545454545,0.489795918,NA,0.6875,0.725490196,0.941176471,0.607843137,0.725490196,0.843137255,0.352941176,0.764705882,0.37254902,0.472222222,0.392156863,0.47826087,0.37254902,0.310344828,0.64,0.64,0.66,0.54,0.04,0.42,0.64,0.64,0.64,0.823529412,0.647058824,NA,0.470588235,0.1,0.470588235,0.352941176,0.215686275,0.34,0.325581395,0.490196078,0.31372549,0.490196078,0.490196078,0.31372549
ME,2022,G230,23,1340825,NA,NA,0.951219512,NA,NA,NA,NA,0.941176471,NA,NA,NA,NA,NA,0.666666667,NA,NA,NA,NA,0.954545455,0.292682927,NA,0.909090909,NA,0.941176471,NA,NA,0.265306122,0.130434783,NA,0.882352941,0.921568627,0.666666667,0.666666667,0.647058824,0.803921569,0.725490196,0.941176471,0.722222222,0.470588235,0.02173913,0.784313725,NA,0.54,0.54,0.52,0.56,0.6,0.8,0.54,0.54,0.54,0.725490196,0.549019608,NA,0.823529412,0.94,0.803921569,0.607843137,0.62745098,0.68,0.651162791,0.823529412,0.862745098,0.823529412,0.843137255,0.862745098
MD,2022,G240,24,6037624,NA,0.058823529,NA,0.125,0.291666667,0.551724138,0.571428571,0.31372549,NA,NA,NA,NA,NA,NA,0.129032258,NA,NA,NA,NA,0.56097561,NA,0.424242424,NA,0.176470588,0.483870968,NA,0.959183673,NA,0.40625,0.411764706,0.725490196,0.019607843,0.764705882,0.352941176,0.901960784,0.862745098,0.843137255,NA,0.901960784,0.847826087,0.62745098,0.655172414,0.12,0.12,0.12,0.06,0.7,0.64,0.12,0.12,0.12,0.37254902,0.137254902,0.4,0.352941176,0.2,0.058823529,0.117647059,0.705882353,0.8,0.930232558,0.411764706,0.568627451,0.411764706,0.411764706,0.588235294
MA,2022,G250,25,6873003,NA,NA,0.87804878,0.75,0.625,0.75862069,0.523809524,0.764705882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.975609756,0.777777778,NA,0.714285714,0.37254902,0.612903226,NA,0.816326531,0.304347826,NA,0.901960784,0.960784314,0.882352941,0.882352941,0.901960784,0.941176471,0.980392157,0.980392157,0.194444444,0.941176471,0.913043478,0.470588235,0.896551724,0.02,0.02,0.02,0.02,0.72,0.76,0.02,0.02,0.02,0.764705882,0.039215686,NA,0.274509804,0.52,0.019607843,0.098039216,0.784313725,0.06,0.906976744,0.509803922,0.764705882,0.509803922,0.509803922,0.764705882
MI,2022,G260,26,9973907,0.571428571,0.529411765,0.780487805,NA,NA,0.344827586,NA,0.823529412,NA,NA,NA,NA,NA,0.333333333,0.677419355,NA,NA,NA,0.590909091,0.024390244,NA,0.666666667,0.571428571,0.294117647,1,NA,0.693877551,NA,0.78125,0.803921569,0.666666667,0.588235294,0.352941176,0.411764706,0.235294118,0.294117647,0.666666667,0.527777778,0.509803922,0.717391304,0.196078431,0.034482759,0.18,0.18,0.16,0.38,0.54,0.6,0.18,0.18,0.18,0.254901961,0.196078431,NA,0.176470588,0.82,0.274509804,0.37254902,0.431372549,0.28,0.186046512,0.176470588,0.62745098,0.176470588,0.176470588,0.647058824
MN,2022,G270,27,5600166,0.642857143,0,0.634146341,NA,0.125,0.068965517,1,0.019607843,NA,NA,0,NA,NA,NA,0.516129032,0.380952381,NA,NA,0.5,0.463414634,NA,NA,NA,0.803921569,0.580645161,0.454545455,0.224489796,0.608695652,0.0625,0.549019608,0.509803922,0.078431373,0.37254902,0.62745098,0.705882353,0.529411765,0.823529412,0.583333333,0.568627451,0.413043478,0.450980392,0.344827586,0.3,0.3,0.24,0.68,0.38,0.3,0.28,0.3,0.3,0.215686275,0.294117647,NA,0.411764706,0.84,0.666666667,0.647058824,0.37254902,0.36,0.511627907,0.254901961,0.490196078,0.254901961,0.254901961,0.490196078
MS,2022,G280,28,2981835,0.75,0.823529412,0.585365854,NA,NA,NA,NA,0.980392157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585365854,0.444444444,0.121212121,0.285714286,0.274509804,NA,NA,0.12244898,NA,0.53125,0.588235294,0.058823529,0.549019608,0.490196078,0.607843137,0.470588235,0.62745098,0.470588235,0.5,0,0.086956522,0.333333333,NA,0.76,0.76,0.76,0.74,0.16,0.04,0.74,0.76,0.76,0.431372549,0.745098039,0.8,0.666666667,0.26,0.725490196,0.725490196,0.019607843,0.88,0.069767442,0.568627451,0.431372549,0.568627451,0.568627451,0.431372549
MO,2022,G290,29,6124160,0.607142857,0.588235294,0.170731707,NA,NA,NA,0.476190476,0.666666667,NA,NA,NA,NA,NA,NA,0.225806452,NA,0.6,NA,NA,0.219512195,0.5,0.606060606,0.142857143,0.470588235,0.258064516,NA,0.346938776,NA,0.21875,0.705882353,0.588235294,0.490196078,0.411764706,0.490196078,0.62745098,0.352941176,0.431372549,NA,0.37254902,0.456521739,0.137254902,0.689655172,0.66,0.66,0.68,0.58,0.18,0.32,0.66,0.66,0.66,0.470588235,0.666666667,NA,0.333333333,0.56,0.568627451,0.588235294,0.352941176,0.38,0.395348837,0.31372549,0.647058824,0.31372549,0.31372549,0.666666667
MT,2022,G300,30,1061705,0.892857143,NA,1,NA,0.541666667,0.310344828,NA,0.68627451,NA,0.454545455,1,NA,0.5,NA,0.322580645,1,NA,1,NA,0.926829268,NA,0.727272727,NA,0.960784314,NA,0.909090909,0.979591837,0.956521739,0.25,0.333333333,0.294117647,0.431372549,0.215686275,0.235294118,0.882352941,0.156862745,0.352941176,0.972222222,0.156862745,NA,0.843137255,NA,0.96,0.96,0.96,0.88,0.92,0.84,0.96,0.96,0.96,0.784313725,0.960784314,NA,0.843137255,0.96,0.843137255,0.980392157,0.803921569,0.7,NA,0.843137255,0.68627451,0.843137255,0.862745098,0.705882353
NE,2022,G310,31,1923826,0.035714286,NA,0.902439024,NA,0.583333333,NA,NA,0.235294118,NA,0.090909091,NA,NA,NA,NA,NA,0.238095238,NA,NA,NA,NA,0.944444444,0.696969697,NA,0.823529412,NA,NA,0.571428571,0.869565217,NA,0.509803922,0.490196078,0.450980392,0.450980392,0.666666667,0.196078431,0.333333333,0.058823529,0.666666667,0.235294118,0.391304348,0.705882353,NA,0.6,0.6,0.54,0.92,0.32,0.34,0.62,0.6,0.6,0.607843137,0.62745098,NA,0.725490196,0.76,0.705882353,0.882352941,0.235294118,0.52,NA,0.725490196,0.352941176,0.725490196,0.725490196,0.352941176
NV,2022,G320,32,3030281,0.5,NA,NA,NA,NA,0,NA,0.588235294,NA,0.636363636,NA,NA,NA,NA,NA,0.714285714,NA,NA,0.909090909,0.414634146,NA,0.848484848,NA,0.745098039,0.838709677,NA,0.530612245,0.391304348,NA,0.215686275,0.450980392,0.333333333,0.196078431,0.117647059,0.215686275,0.549019608,0,0.555555556,0.68627451,0.869565217,0.745098039,NA,0.28,0.28,0.36,0.1,0.78,0.62,0.36,0.28,0.28,0.411764706,0.37254902,NA,0.62745098,0.14,0.490196078,0.274509804,0.68627451,0.16,0.302325581,0.607843137,0.098039216,0.607843137,0.607843137,0.098039216
NH,2022,G330,33,1355244,NA,NA,0.463414634,NA,NA,0.689655172,NA,0.411764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.725490196,NA,NA,0.244897959,NA,NA,0.568627451,0.549019608,0.274509804,0.509803922,0.529411765,0.490196078,0.705882353,0.745098039,NA,0.215686275,0.173913043,0.823529412,NA,0.36,0.36,0.34,0.5,0.58,0.66,0.38,0.36,0.36,0.705882353,0.392156863,NA,0.803921569,0.7,0.62745098,0.392156863,0.607843137,0.62,0.674418605,0.803921569,0.921568627,0.803921569,0.823529412,0.921568627
NJ,2022,G340,34,8885418,NA,NA,NA,0.375,0.5,0.620689655,0.666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136363636,NA,NA,0.454545455,0.619047619,0.019607843,0.935483871,NA,0.653061224,NA,0.59375,0.62745098,0.431372549,0.568627451,0.803921569,0.784313725,0.725490196,0.823529412,0.862745098,NA,1,1,0.803921569,0.586206897,0.2,0.2,0.22,0.12,0.8,0.82,0.24,0.2,0.2,0.666666667,0.254901961,NA,0.196078431,0.28,0.254901961,0.176470588,0.823529412,0.02,0.953488372,0.039215686,0.666666667,0.039215686,0.039215686,0.68627451
NM,2022,G350,35,2097021,0.964285714,NA,0.512195122,NA,NA,0.448275862,NA,0.392156863,NA,NA,0.8,NA,NA,NA,0.935483871,0.904761905,NA,0.8,0.818181818,0.707317073,0.888888889,0.757575758,NA,0.392156863,NA,NA,0.755102041,0.695652174,0.65625,0.431372549,0.529411765,0.37254902,0.333333333,0.333333333,0.274509804,0.254901961,0.156862745,0.888888889,0.588235294,0.347826087,0.725490196,NA,0.82,0.82,0.82,0.46,0.34,0.22,0.82,0.82,0.82,0.568627451,0.823529412,NA,0.705882353,0.5,0.823529412,0.901960784,0.176470588,0.5,0.558139535,0.666666667,0.294117647,0.666666667,0.666666667,0.294117647
NY,2022,G360,36,19514849,NA,0.117647059,0.219512195,0.875,0.25,0.206896552,0.428571429,0.62745098,NA,NA,NA,NA,NA,NA,0.35483871,NA,NA,NA,0.454545455,0.829268293,NA,0.090909091,0.523809524,0.078431373,0.967741935,0,0.612244898,0.173913043,0.09375,0.960784314,0.901960784,0.960784314,0.960784314,0.980392157,0.980392157,0.960784314,0.921568627,0.222222222,0.980392157,0.673913043,0.254901961,0.75862069,0,0,0,0,0.74,0.72,0,0,0,0.529411765,0.019607843,NA,0.058823529,0.62,0.098039216,0.078431373,0.745098039,0.24,1,0.058823529,0.843137255,0.058823529,0.058823529,0.843137255
NC,2022,G370,37,10386227,0.321428571,NA,0.268292683,NA,NA,0.275862069,0.285714286,0.215686275,NA,NA,NA,NA,NA,0,0.032258065,0.333333333,NA,NA,0.545454545,0.12195122,NA,0.151515152,NA,0.352941176,0.129032258,0.181818182,0.367346939,NA,0,0.235294118,0.196078431,0.235294118,0.607843137,0.588235294,0.392156863,0.31372549,0.196078431,0.305555556,0.31372549,0.326086957,0,0.103448276,0.16,0.16,0.14,0.28,0.3,0,0.14,0.16,0.16,0.156862745,0.156862745,0.2,0.156862745,0.18,0.117647059,0.294117647,0.137254902,0.9,0.162790698,0.352941176,0.137254902,0.352941176,0.352941176,0.137254902
ND,2022,G380,38,760394,0.928571429,NA,0.097560976,NA,NA,0.965517241,NA,0.529411765,NA,NA,0.6,NA,NA,NA,1,0.571428571,NA,NA,NA,NA,NA,0.939393939,NA,0.901960784,NA,NA,0.93877551,0.739130435,0.96875,0.156862745,0.098039216,0.62745098,0.31372549,0.37254902,0,0.647058824,0.333333333,0.805555556,0.294117647,NA,0.941176471,NA,0.94,0.94,0.9,1,0.88,0.92,0.94,0.94,0.94,0.901960784,0.941176471,NA,0.921568627,1,0.941176471,1,0.921568627,0.72,NA,0.941176471,0.901960784,0.941176471,0.941176471,0.901960784
OH,2022,G390,39,11675275,NA,NA,0.024390244,0,NA,NA,0.19047619,0.058823529,NA,NA,NA,NA,NA,NA,0.419354839,NA,0.4,NA,0.636363636,0.536585366,0.111111111,0.393939394,0.428571429,0.196078431,0.096774194,NA,0.551020408,NA,0.125,0.862745098,0.803921569,0.862745098,0.784313725,0.745098039,0.784313725,0.490196078,0.803921569,NA,0.431372549,0.739130435,0.078431373,0.206896552,0.26,0.26,0.26,0.36,0.66,0.54,0.26,0.26,0.26,0.117647059,0.274509804,0.3,0.117647059,0.74,0.235294118,0.235294118,0.411764706,0.78,0.465116279,0.078431373,0.745098039,0.078431373,0.078431373,0.745098039
OK,2022,G400,40,3949342,0.857142857,NA,0.048780488,NA,0.708333333,NA,NA,0.882352941,NA,NA,NA,NA,NA,NA,NA,0.095238095,NA,NA,NA,0.780487805,NA,0.303030303,0.80952381,0.666666667,0.677419355,NA,0.918367347,0.913043478,NA,0.098039216,0.117647059,0.392156863,0.588235294,0.549019608,0.098039216,0.215686275,0.254901961,0.916666667,0.098039216,0.304347826,0.235294118,0.275862069,0.74,0.74,0.72,0.8,0.08,0.14,0.72,0.74,0.74,0.352941176,0.725490196,NA,0.529411765,0.38,0.431372549,0.784313725,0.078431373,0.46,0.11627907,0.549019608,0.196078431,0.549019608,0.549019608,0.196078431
OR,2022,G410,41,4176346,0.678571429,0.647058824,0.682926829,NA,0.666666667,0.482758621,NA,0.254901961,NA,0,NA,NA,NA,NA,0.258064516,0.952380952,NA,NA,NA,0.170731707,NA,0.333333333,0.761904762,0.254901961,0.290322581,NA,0.897959184,0.52173913,NA,0.352941176,0.823529412,0.68627451,0.137254902,0.098039216,0.529411765,0.745098039,0.235294118,0.694444444,0.62745098,0.5,0.568627451,0.965517241,0.38,0.38,0.38,0.32,0.24,0.36,0.34,0.38,0.38,0.294117647,0.352941176,NA,0.509803922,0.42,0.588235294,0.431372549,0.333333333,0.3,0.581395349,0.450980392,0.37254902,0.450980392,0.450980392,0.37254902
PA,2022,G420,42,12794885,NA,0.411764706,0.609756098,0.5,0.375,NA,0.142857143,0.568627451,NA,NA,NA,NA,NA,NA,0.483870968,NA,NA,NA,0.090909091,0.341463415,0.388888889,NA,NA,0.039215686,0.35483871,0.636363636,0.775510204,NA,0.875,0.921568627,0.745098039,0.764705882,0.921568627,0.882352941,0.823529412,0.509803922,0.647058824,NA,0.666666667,0.782608696,0.156862745,0.620689655,0.44,0.44,0.48,0.18,0.64,0.56,0.44,0.44,0.44,0.647058824,0.450980392,0.1,0.078431373,0.72,0.176470588,0.215686275,0.588235294,0.94,0.720930233,0.156862745,0.450980392,0.156862745,0.156862745,0.450980392
