"","program","percent_poc_concentration","poverty_rate_concentration","med_hh_income_concentration","pop_density_concentration","access_to_car_concentration","age_over_64_concentration","age_under_18_concentration","airports_primary_concentration","annual_vehicle_mi_per_hh_concentration","avg_hh_person_trips_concentration","bridges_concentration","bridges_poor_condition_concentration","broadband_speed_concentration","capacity_environment_concentration","capacity_housing_concentration","capacity_transport_concentration","cnw_500_concentration","commute_time_concentration","contaminated_sites_concentration","diesel_pm_concentration","docks_concentration","employment_access_index_concentration","energy_cost_hh_concentration","freq_bus_use_concentration","freq_fatal_accidents_concentration","freq_train_use_concentration","ghg_per_acre_concentration","green_commute_concentration","grid_disturbances_concentration","hh_int_access_concentration","highway_miles_concentration","homelessness_concentration","housing_cost_burden_concentration","housing_units_concentration","hud_202_concentration","hud_hcv_concentration","hud_pbs8_concentration","hud_ph_concentration","incomplete_kitchen_concentration","incomplete_plumbing_concentration","intercity_km_concentration","overcrowded_housing_concentration","ozone_concentration","permits_concentration","pm25_concentration","power_generation_concentration","pub_transit_commute_concentration","pub_transit_stops_concentration","rail_transit_km_concentration","rr_freight_route_miles_concentration","rr_incident_killed_concentration","rr_incident_number_concentration","rr_pax_route_miles_concentration","stations_elevated_concentration","stations_subway_concentration","superfund_site_concentration","transport_costs_concentration","transport_trade_jobs_concentration","vacancy_rate_concentration","water_system_violations_concentration"
"1","acp_outreach",0.357719854169186,0.287166792681364,-0.0697969222427326,0.0192294611700801,NA,NA,NA,NA,NA,NA,NA,NA,0.356263286283198,NA,-0.0764935118745466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0583448927459207,NA,NA,-0.264888437799029,-0.0798187353212458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ag_acep",0.807223463342196,0.4659538577449,-0.197158774641903,-0.419197205187602,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.151741201088248,NA,NA,0.374384228930473,NA,0.600523598550298,-0.361351445519223,NA,NA,NA,NA,NA,NA,-0.949555854365551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67584085073444,NA,0.775746411332818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0786005665679606
"3","ag_csp",-0.705501926677133,0.477092544709522,0.522527293399305,-0.843680237263973,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.445549979488839,NA,NA,0.351706754422128,NA,1.13462405986963,-0.56664219604704,NA,NA,NA,NA,NA,NA,-0.818541667578799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.751511885016385,NA,0.169685674323171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.622757513058994
"4","ag_eqip",-0.17923778802957,0.47118973141176,0.289580406287632,-0.545820035846902,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.305541656324485,NA,NA,0.260801144847965,NA,0.737926132775933,-0.534308240051795,NA,NA,NA,NA,NA,NA,-0.575910765798724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.328443674424484,NA,0.167672070165061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.490195593999148
"5","ag_rcpp",-0.365737738576788,0.0280939057965617,-0.0195721590974692,-0.709042198017,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.319242701308102,NA,NA,-0.0051671183653007,NA,0.753740139777135,-0.299064533005846,NA,NA,NA,NA,NA,NA,-0.691952208582579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.246900619927319,NA,-0.0416375605141747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623366135365313
"6","ag_reap",-0.475477249468451,-0.411855246649563,-0.362065759969734,-0.415409014045823,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701002423475027,NA,NA,NA,NA,NA,0.488827121885732,NA,NA,0.0229793009225823,NA,NA,NA,0.442307130945844,NA,-0.0612110469179818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.363041695207987,NA,0.608123991737973,-0.468047768755327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ag_reconnect",-0.196073290460267,0.447206327633313,0.484403615774971,-0.989639446131707,NA,NA,NA,NA,NA,NA,NA,NA,1.02062486162201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71686380955348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ag_urban_forest",0.0286358365048975,-0.231558081801129,-0.224627131666644,0.0128948396287478,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0378427161446817,NA,NA,NA,NA,NA,0.221428987988628,NA,NA,NA,NA,NA,NA,0.143589459667317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.129034064032909,NA,-0.375822683470769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","airport_infrastructure_comp",-0.0126605697877981,0.669288281619374,0.411377620644174,-0.392151478893943,NA,NA,NA,1.00196532320108,NA,NA,NA,NA,NA,NA,NA,-0.148961037938837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","airport_infrastructure_formula",0.131211519074798,0.0360591478036028,-0.0698760068667941,-0.385225507679623,NA,NA,NA,0.647612204837283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","airport_terminal",0.0371308961643921,-0.164131880449314,-0.16383939329766,-0.0948684473023205,NA,NA,NA,0.25909468910647,NA,NA,NA,NA,NA,NA,NA,0.0722659349344918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","asap",-0.95955936273658,-1,-0.958840928636697,1.70724727597446,NA,NA,NA,NA,NA,-0.673367546267239,NA,NA,NA,NA,NA,-0.966300832078861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58248748120044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69205878589532,0.709438935197393,NA,NA,NA,NA,NA,1.9371264990168,1.84958675193494,NA,-1,NA,NA,NA
