state,year,GISJOIN,FIPS,total_state_pop,ag_reconnect,airport_infrastructure,airport_terminal,asap,bridge,buses,capital_investment,clean_school_bus,doe_nuclear,doi_aging_infra,doi_rural_water,doi_water_recycle,doi_water_storage,ferry_rural_comms,fra_rail_cross,fs_wildfire,fta_rail_vehicle,indian_water,infra,low_no_emission,natural_gas,ntia_middle_mile,ports,raise,reconnect_community,rural_surface,safe_streets,tribal_broadband,usace,cdbg_entitlement,coc,home,public_hsg,public_hsg_cap,elderly,hcv,s8_project,fy_2022_ttp,fta_5307_5340,fta_5310,fta_5339,fta_5329_e,fhwa_nhpp,fhwa_stp,fhwa_safety,fhwa_railway,fhwa_cmaq,fhwa_metro_plan,fhwa_highway_freight,fhwa_carbon,fhwa_protect,fhwa_bridge,fhwa_ev,fhwa_app,doe_bead_initial,doe_weatherization,nhtsa,fmcsa_21,fta_5305_combined,fta_5311_combined,fta_5337_combined,dwsrf_lead_combined,cwsrf_general_combined,dwsrf_general_combined,dwsrf_emerging_combined,cwsrf_emerging_combined
AL,2022,G010,1,4893186,0.843137255,0,0.470588235,0,0,0,0,0.745098039,0,0,0,0,0,0,0.941176471,0,0,0,0,0.803921569,0.941176471,0.764705882,0,0.333333333,0.529411765,0,0.176470588,0,0,0.490196078,0.176470588,0.196078431,0.901960784,0.921568627,0.509803922,0.411764706,0.901960784,0.490196078,0.117647059,0.31372549,0.117647059,0,0.705882353,0.705882353,0.705882353,0.607843137,0.039215686,0.117647059,0.68627451,0.705882353,0.705882353,0.137254902,0.68627451,0.980392157,0.450980392,0.254901961,0.352941176,0.68627451,0.098039216,0.980392157,0,0.647058824,0.254901961,0.647058824,0.647058824,0.254901961
AK,2022,G020,2,736990,1,0,0.588235294,0,0.921568627,0.941176471,0,0.098039216,0,0,0,0,0,1,0,0.803921569,0,0,0,0.882352941,0,1,1,1,0.921568627,0.941176471,0.803921569,1,1,0.019607843,0.647058824,0.843137255,0.705882353,0.294117647,0.764705882,0.666666667,0.039215686,1,0.843137255,0.235294118,0.960784314,0,1,1,1,0.823529412,1,0.980392157,1,1,1,0.941176471,1,0,0.941176471,0.980392157,0.882352941,0.862745098,0.941176471,0.745098039,0.980392157,0.960784314,0.960784314,0.960784314,0.960784314,0.960784314
AZ,2022,G040,4,7174064,0.588235294,0,0.450980392,0,0.607843137,0,0.960784314,0.333333333,0,0.843137255,0,0,0.941176471,0,0,0.647058824,0,0.941176471,0.725490196,0.784313725,0,0.725490196,0,0.607843137,0.509803922,0,0.31372549,0.803921569,0.68627451,0.274509804,0.62745098,0.156862745,0.058823529,0.039215686,0.156862745,0.078431373,0.019607843,0.882352941,0.549019608,0.843137255,0.411764706,0.666666667,0.156862745,0.156862745,0.196078431,0.156862745,0.490196078,0.294117647,0.176470588,0.156862745,0.156862745,0.058823529,0.176470588,0,0.254901961,0.098039216,0.039215686,0,0.647058824,0.137254902,0.450980392,0.196078431,0,0.196078431,0.196078431,0
AR,2022,G050,5,3011873,0.745098039,0.901960784,0.803921569,0,0,0,0,0.274509804,0,0,0,0,0,0,0.450980392,0,0,0,0,0.196078431,0,0,0.725490196,0.568627451,0.882352941,0,0.352941176,0,0.823529412,0.450980392,0,0.529411765,0.529411765,0.725490196,0.647058824,0.274509804,0.098039216,0,0.039215686,0.215686275,0.431372549,0.647058824,0.803921569,0.803921569,0.803921569,0.784313725,0.215686275,0.078431373,0.784313725,0.803921569,0.803921569,0.509803922,0.784313725,0,0.647058824,0.411764706,0.647058824,0.764705882,0,0.588235294,0.274509804,0.68627451,0.235294118,0.68627451,0.68627451,0.235294118
CA,2022,G060,6,39346023,0.490196078,0.725490196,0.509803922,0,0.941176471,0.509803922,0.901960784,0.352941176,1,0.901960784,0,1,0.980392157,0,0.725490196,0.921568627,0.901960784,0,0.68627451,0.843137255,0,0.588235294,0.784313725,0.098039216,0.941176471,0.803921569,0.725490196,0.647058824,0.549019608,0.607843137,0.882352941,0.823529412,0.078431373,0.078431373,0.745098039,0.921568627,0.764705882,0.607843137,0.803921569,0.823529412,0.490196078,0.68627451,0.058823529,0.058823529,0.058823529,0.098039216,0.823529412,0.705882353,0.098039216,0.058823529,0.058823529,0.392156863,0.098039216,0,0,0.058823529,0.450980392,0.039215686,0.764705882,0.019607843,0.803921569,0.117647059,0.156862745,0.117647059,0.117647059,0.156862745
CO,2022,G080,8,5684926,0.666666667,0.745098039,0.941176471,0,0.725490196,0.882352941,0.725490196,0.078431373,0,0.823529412,0,0,1,0,0.431372549,0.764705882,0,0.901960784,0.901960784,0.31372549,0.647058824,0.37254902,0,0.529411765,0,0,0.490196078,0.901960784,0,0.039215686,0.470588235,0.058823529,0.254901961,0.176470588,0.254901961,0.68627451,0.588235294,0.529411765,0.705882353,0.62745098,0.529411765,0.843137255,0.117647059,0.117647059,0.098039216,0.274509804,0.568627451,0.470588235,0.117647059,0.117647059,0.117647059,0.098039216,0.117647059,0,0.392156863,0.549019608,0.333333333,0.333333333,0.529411765,0.235294118,0.568627451,0.529411765,0.019607843,0.529411765,0.529411765,0.019607843
CT,2022,G090,9,3570549,0,0,0.764705882,0.941176471,0.980392157,0.843137255,0,0.450980392,0,0,0,0,0,0,0,0,0,0,0,0,0.901960784,0,0.862745098,0.647058824,0,0,0.333333333,0,0.725490196,0.745098039,0.980392157,0.803921569,0.843137255,0.823529412,0.843137255,0.941176471,0.784313725,0.411764706,0.921568627,0.901960784,0.666666667,0,0.529411765,0.529411765,0.607843137,0.058823529,0.862745098,0.745098039,0.568627451,0.529411765,0.529411765,0.745098039,0.568627451,0,0.549019608,0.450980392,0.764705882,0.137254902,0.568627451,0.215686275,0.882352941,0.294117647,0.509803922,0.294117647,0.294117647,0.509803922
DE,2022,G100,10,967679,0,0,0,0,0,1,0,0.156862745,0,0,0,0,0,0,0.745098039,0,0,0,0,0,0,0,0,0.411764706,0,0,0.098039216,0,0,0.31372549,0.68627451,0.784313725,0.68627451,0.450980392,0.31372549,0.431372549,0.607843137,0,0.784313725,0.68627451,0.901960784,0,0.784313725,0.784313725,0.784313725,0.764705882,0.843137255,0.882352941,0.803921569,0.784313725,0.784313725,0.803921569,0.803921569,0,0.882352941,0.352941176,0.862745098,0.666666667,0.843137255,0.607843137,0.862745098,0.901960784,0.784313725,0.901960784,0.901960784,0.784313725
DC,2022,G110,11,701974,0,0,0,0,0,0,0,0.960784314,0,0,0,0,0,0,0,0,0,0,0,0.921568627,0,0,0,0.862745098,0,0,0,0,0.647058824,1,1,1,1,0.960784314,0.862745098,1,0.960784314,0,0.960784314,0.196078431,0.588235294,1,0.862745098,0.862745098,0.862745098,0.843137255,0.941176471,0.941176471,0.862745098,0.862745098,0.862745098,0.960784314,0.862745098,0,0.960784314,0.490196078,0.921568627,0.843137255,0.960784314,0,0.843137255,0.882352941,0.725490196,0.882352941,0.803921569,0.529411765
FL,2022,G120,12,21216924,0,0,0.549019608,0,0,0,0.62745098,0.137254902,0,0,0,0,0,0,0.62745098,0,0.921568627,0,0.588235294,0.490196078,0.725490196,0.352941176,0.68627451,0.156862745,0.62745098,0,0.68627451,0,0.882352941,0.117647059,0.392156863,0.098039216,0.274509804,0.196078431,0.607843137,0.588235294,0.176470588,0.333333333,0.607843137,0.941176471,0.176470588,0.470588235,0.098039216,0.098039216,0.117647059,0.176470588,0.019607843,0.529411765,0.058823529,0.098039216,0.098039216,0,0.058823529,0,0.039215686,0.019607843,0,0.058823529,0.666666667,0.058823529,0.529411765,0,0.039215686,0,0,0.039215686
GA,2022,G130,13,10516579,0.549019608,0,0.647058824,0,0.62745098,0,0.588235294,0.803921569,0,0,0,0,0,0,0.490196078,0.607843137,0,0,0,0.705882353,0.745098039,0.490196078,0,0.235294118,0.647058824,0,0.745098039,0,0.607843137,0.294117647,0.352941176,0.294117647,0.549019608,0.509803922,0.37254902,0.568627451,0.490196078,0,0.490196078,0.490196078,0.019607843,0.705882353,0.411764706,0.411764706,0.431372549,0.411764706,0.450980392,0.215686275,0.411764706,0.411764706,0.411764706,0.039215686,0.411764706,0.803921569,0.137254902,0.137254902,0.137254902,0.450980392,0.392156863,0.666666667,0.666666667,0.098039216,0.078431373,0.098039216,0.098039216,0.078431373
HI,2022,G150,15,1420074,0,0.980392157,0.843137255,0,0,0.901960784,0,0.607843137,0,0,0,0.941176471,0,0,0,0.784313725,0,0,0,1,0,0.980392157,0.980392157,0.921568627,0,0,0,0.921568627,0,0.529411765,0.843137255,0.509803922,0.823529412,0.764705882,0.588235294,0.901960784,0.450980392,0.588235294,0.862745098,0.725490196,0.921568627,0.921568627,0.333333333,0.333333333,0.333333333,0.431372549,0.509803922,0.68627451,0.31372549,0.333333333,0.333333333,0.882352941,0.31372549,0,0.784313725,0.039215686,0.784313725,0.156862745,0.490196078,0.450980392,0.392156863,0.784313725,0.803921569,0.784313725,0.784313725,0.803921569
ID,2022,G160,16,1754367,0.647058824,1,0.294117647,0,0,0.450980392,0,0.490196078,0,0.960784314,0,0.960784314,0,0,0.980392157,0.862745098,0,0.921568627,0,0.901960784,0,0.705882353,0,0.784313725,0,0,0.235294118,0,0.568627451,0.137254902,0.156862745,0.176470588,0,0,0.058823529,0.039215686,0.117647059,0.725490196,0.274509804,0.137254902,0.764705882,0,0.725490196,0.725490196,0.745098039,0.647058824,0.529411765,0.450980392,0.764705882,0.725490196,0.725490196,0.62745098,0.764705882,0,0.764705882,0.68627451,0.509803922,0.745098039,0.294117647,0.568627451,0,0.764705882,0.392156863,0.764705882,0.764705882,0.392156863
