"","state","county","GEOID","year","total_county_pop","acp_outreach","ag_rcpp","ag_reap","ag_reconnect","ag_urban_forest","airport_infrastructure_comp","airport_infrastructure_formula","airport_terminal","asap","bric","bridge","brownfield","buses","capital_investment","carbon_capture_dem","cdbg_entitlement","charge_fuel_infra","clean_hydrogen","clean_school_bus","climate_coasts","coc","crisi","culvert_restore","dac_hubs","dhs_flood","doe_battery","doe_carbon_storage","doe_grid_innovation","doe_grid_resilience","doe_hydrogen_electro","doe_rural_energy","doi_aging_infra","doi_drought","doi_rural_water","doi_water_recycle","doi_water_storage","dot_tc","elderly","epa_great_lakes","ferry_rural_comms","fhwa_carbon","fhwa_protect_comp","fhwa_stp","fhwa_tap","fra_intercity_rail","fra_rail_cross","fs_wildfire","fta_5307_5340","fta_5310","fta_5337_combined","fta_5339","fta_rail_vehicle","grrp_comp","grrp_elements","grrp_leading","hcv","home","hud_disability","hud_esg","hud_hopwa","indian_health","indian_water","infra","land_port","low_no_emission","mega","motor_carrier_safety","national_lab","natural_gas","ntia_middle_mile","ports","public_hsg","public_hsg_cap","raise","reconnect_community","rural_surface","s8_project","safe_streets","smart_grid","tribal_broadband","ttp"
"1","AK","Aleutians East Borough","02013","2022-2023",3389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3209253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5365000,0,0,0,0,0,0,0,0,0,774669
"2","AK","Aleutians West Census Area","02016","2022-2023",5708,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340000,0,0,3209253,0,2950741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10161900,0,0,22320000,0,0,0,868419,0,999334,1131958
"3","AK","Anchorage Municipality","02020","2022-2023",292090,1378128,0,0,0,2000000,0,3850962,6832000,0,0,0,1000000,0,0,0,3767125,0,0,0,0,7236937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133333,2175033,0,0,7307835,0,63621932,4017159,0,0,0,41285336,535165,71610263,1113312,0,0,0,0,110328065,1552291,596528,330308,924965,0,0,0,0,0,0,0,0,0,0,68700000,20591074,7004695,0,537660,0,10722774,0,0,0,111292
"4","AK","Bethel Census Area","02050","2022-2023",18263,0,0,0,63512240,0,0,23963000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133333,0,0,0,0,0,0,0,0,0,217038,0,0,0,0,0,0,0,0,466974,0,0,0,0,199569852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505837,6263,0,97192606,15159516
"5","AK","Bristol Bay Borough","02060","2022-2023",739,0,0,0,11628473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3746677,0,0,0,0,0,0,0,0,0,0,0,0,0,133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17779299,0,0,0,13297800,0,0,0,0,0,0,1031679
"6","AK","Chugach Census Area","02063","2022-2023",6495,0,0,0,21404940,0,0,0,0,0,0,0,0,2103546,0,0,0,0,0,0,0,0,0,7752744,0,0,0,0,0,0,0,0,0,0,0,0,0,133333,0,0,12305896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9310125,0,0,0,0,0,0,0,0,0,14124193,0,0,0,0,0,0,81600,0,739006,1011308
"7","AK","Copper River Census Area","02066","2022-2023",2894,0,0,0,17897482,0,0,0,0,0,0,0,1000000,2103546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133333,0,0,9096643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14124193,0,0,0,0,0,0,0,0,239006,1117133
"8","AK","Denali Borough","02068","2022-2023",2502,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239006,49262
"9","AK","Dillingham Census Area","02070","2022-2023",4934,0,0,0,11628473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133333,317739,0,0,0,4525970,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,5397684,0,0,0,0,0,0,0,0,0,0,0,0,380000,0,0,0,0,0,29532501,1953221
"10","AK","Fairbanks North Star Borough","02090","2022-2023",98455,0,0,0,0,0,0,7755131,0,0,0,0,0,0,0,0,0,0,0,0,0,217579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300979,0,0,1876471,752142,0,0,0,0,0,4307501,0,1095916,0,0,0,0,0,0,0,1085749,0,0,0,0,17148610,0,2494728,0,0,0,0,0,0,0,0,0,0,0,2487648,0,0,0,0
