"","program","percent_poc","percent_poc_funded","poverty_rate","poverty_rate_funded","pop_density","pop_density_funded","med_hh_income","med_hh_income_funded","access_to_car","access_to_car_funded","age_over_64","age_over_64_funded","age_under_18","age_under_18_funded","airports_primary","airports_primary_funded","annual_vehicle_mi_per_hh","annual_vehicle_mi_per_hh_funded","avg_hh_person_trips","avg_hh_person_trips_funded","bridges","bridges_funded","bridges_poor_condition","bridges_poor_condition_funded","broadband_speed","broadband_speed_funded","capacity_environment","capacity_environment_funded","capacity_housing","capacity_housing_funded","capacity_transport","capacity_transport_funded","cnw_500","cnw_500_funded","commute_time","commute_time_funded","contaminated_sites","contaminated_sites_funded","diesel_pm","diesel_pm_funded","docks","docks_funded","employment_access_index","employment_access_index_funded","energy_cost_hh","energy_cost_hh_funded","freq_bus_use","freq_bus_use_funded","freq_fatal_accidents","freq_fatal_accidents_funded","freq_train_use","freq_train_use_funded","ghg_per_acre","ghg_per_acre_funded","green_commute","green_commute_funded","grid_disturbances","grid_disturbances_funded","hh_int_access","hh_int_access_funded","highway_miles","highway_miles_funded","homelessness","homelessness_funded","housing_cost_burden","housing_cost_burden_funded","housing_units","housing_units_funded","hud_202","hud_202_funded","hud_hcv","hud_hcv_funded","hud_pbs8","hud_pbs8_funded","hud_ph","hud_ph_funded","incomplete_kitchen","incomplete_kitchen_funded","incomplete_plumbing","incomplete_plumbing_funded","overcrowded_housing","overcrowded_housing_funded","ozone","ozone_funded","permits","permits_funded","pm25","pm25_funded","power_generation","power_generation_funded","pub_transit_commute","pub_transit_commute_funded","pub_transit_stops","pub_transit_stops_funded","rail_transit_km","rail_transit_km_funded","rr_freight_route_miles","rr_freight_route_miles_funded","rr_incident_killed","rr_incident_killed_funded","rr_incident_number","rr_incident_number_funded","rr_pax_route_miles","rr_pax_route_miles_funded","stations_elevated","stations_elevated_funded","stations_subway","stations_subway_funded","superfund_site","superfund_site_funded","transport_costs","transport_costs_funded","transport_trade_jobs","transport_trade_jobs_funded","vacancy_rate","vacancy_rate_funded","water_system_violations","water_system_violations_funded"
"11","cwsrf_emerging_combined",-0.39215686272549,-0.39215686272549,-0.519607843088235,-0.519607843088235,-0.294117647019608,-0.294117647019608,-0.431372548803922,-0.431372548803922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.194901961,-0.194901961,NA,NA,NA,NA,NA,NA,NA,NA,-0.107843137156863,-0.107843137156863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.254901961166667,-0.254901961166667,-0.284313725764706,-0.284313725764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.101764706,-0.101764706,NA,NA,NA,NA,NA,NA,-0.176470588147059,-0.176470588147059
"12","cwsrf_general_combined",-0.362745098392157,-0.362745098392157,-0.519607843088235,-0.519607843088235,-0.294117646931373,-0.294117646931373,-0.431372549019608,-0.431372549019608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.212352941,-0.212352941,NA,NA,NA,NA,NA,NA,NA,NA,-0.117647058627451,-0.117647058627451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.254901961166667,-0.254901961166667,-0.294117647147059,-0.294117647147059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1205882355,-0.1205882355,NA,NA,NA,NA,NA,NA,-0.186274509647058,-0.186274509647058
"13","doe_bead_initial",-0.274509803941177,-0.274509803941177,-0.411764706176471,-0.411764706176471,-0.470588235166666,-0.470588235166666,-0.343137254764706,-0.343137254764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.235294117558824,-0.235294117558824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.323529411813726,-0.323529411813726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","doe_nuclear",-0.735294117647058,NA,-0.754901960784313,NA,-0.735294117647058,NA,-0.754901960784313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.73,NA,NA,NA,-0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","doe_weatherization",-0.431372549421569,-0.447450980392157,-0.441176470627451,-0.443529411764706,-0.431372548911764,-0.447843137254902,-0.372549019441176,-0.369803921568627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.310980392,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0490196078529411,-0.0478431372549019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.421568627539216,-0.423137254901961,-0.254901960872549,-0.266078431372549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","doi_aging_infra",-0.696078431372549,-0.327985739568627,-0.754901960784313,-0.0294117647058824,-0.735294117647058,-0.202317290598039,-0.735294117647058,0.126559714431373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.617647058823529,-0.315508021117647
"17","doi_rural_water",-0.735294117647058,-0.141176470588235,-0.735294117647058,-0.141176470588235,-0.754901960784313,NA,-0.715686274509803,-0.154901960784314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75,-0.34,NA,NA,NA,NA,NA,NA,NA,NA,-0.676470588235294,-0.301960784313726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71,-0.16,NA,NA,NA,NA,NA,NA,-0.696078431372549,-0.154901960784314
"18","doi_water_recycle",-0.696078431372549,-0.454901960784314,-0.745098039215686,-0.127450980392156,-0.725490196078431,-0.337254901960784,-0.754901960784313,-0.0666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75,-0.72,NA,NA,NA,NA,NA,NA,NA,NA,-0.754901960784313,-0.125490196078431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74,0,NA,NA,NA,NA,NA,NA,-0.735294117647058,-0.262745098039216
"19","doi_water_storage",-0.715686274509804,-0.370098039215686,-0.754901960784313,-0.0490196078431373,-0.735294117647058,-0.281862745098039,-0.735294117647058,-0.291666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75,-0.39,NA,NA,NA,NA,NA,NA,NA,NA,-0.735294117647058,-0.0245098039215685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71,-0.6,NA,NA,NA,NA,NA,NA,-0.725490196078431,-0.477941176470588
"20","dwsrf_emerging_combined",-0.274509804284314,-0.274509804284314,-0.401960784215686,-0.401960784215686,-0.431372548921569,-0.431372548921569,-0.323529411872549,-0.323529411872549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4447058825,-0.4447058825,NA,NA,NA,NA,NA,NA,NA,NA,-0.0686274510784313,-0.0686274510784313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.284313725215686,-0.284313725215686,-0.264705882078431,-0.264705882078431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1349019605,-0.1349019605,NA,NA,NA,NA,NA,NA,-0.166666666833334,-0.166666666833334
"21","dwsrf_general_combined",-0.274509804284314,-0.274509804284314,-0.401960784215686,-0.401960784215686,-0.431372548921569,-0.431372548921569,-0.323529411872549,-0.323529411872549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4447058825,-0.4447058825,NA,NA,NA,NA,NA,NA,NA,NA,-0.0686274510784313,-0.0686274510784313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.284313725215686,-0.284313725215686,-0.264705882078431,-0.264705882078431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.144705882,-0.144705882,NA,NA,NA,NA,NA,NA,-0.176470588333334,-0.176470588333334
"22","dwsrf_lead_combined",-0.274509804284314,-0.274509804284314,-0.401960784215686,-0.401960784215686,-0.431372548921569,-0.431372548921569,-0.323529411872549,-0.323529411872549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4447058825,-0.4447058825,NA,NA,NA,NA,NA,NA,NA,NA,-0.0686274510784313,-0.0686274510784313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.284313725215686,-0.284313725215686,-0.264705882078431,-0.264705882078431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.144705882,-0.144705882,NA,NA,NA,NA,NA,NA,-0.176470588333334,-0.176470588333334
"23","elderly",-0.245098038980392,-0.245098038980392,-0.333333333019608,-0.333333333019608,-0.117647058833333,-0.117647058833333,-0.382352940990196,-0.382352940990196,NA,NA,-0.254901960470588,-0.254901960470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2588235295,-0.2588235295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.147058823578432,-0.147058823578432,-0.27450980367647,-0.27450980367647,-0.245098039245098,-0.245098039245098,-0.00980392151960785,-0.00980392151960785,NA,NA,NA,NA,NA,NA,-0.294117647235294,-0.294117647235294,-0.274509803588235,-0.274509803588235,-0.225490196107843,-0.225490196107843,NA,NA,-0.0744297716734694,-0.0744297716734694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.333333333490196,-0.333333333490196,NA,NA
"24","ferry_rural_comms",-0.754901960784313,-0.166666666666667,-0.754901960784313,-0.529411764872549,-0.754901960784313,-0.490196078598039,-0.735294117647058,-0.313725490529412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.73,-0.1333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71,-0.7733333335,-0.75,-0.681818181818182,NA,NA,NA,NA,NA,NA,-0.71,-0.1166666665,-0.71,-0.233333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735294117647058,0.156862745264706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.754901960784313,-0.176470588568627,-0.75,0.458333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.3866666665,NA,NA,NA,NA,NA,NA
"25","fhwa_app",-0.696078431372549,-0.247058823529412,-0.598039215686274,-0.243137254901961,-0.647058823529412,-0.483333333333334,-0.617647058823529,-0.251960784313725,NA,NA,NA,NA,NA,NA,NA,NA,-0.71,-0.12,-0.73,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61,-0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
