"","quantile","quantile_range_min","quantile_range_max","indicator","program","data_level","funding_average_per_1k"
"135","50%",0.266217609816977,0.436273972235218,"percent_poc","ag_eqip","state",570.034280248561
"136","75%",0.436273972235218,NA,"percent_poc","ag_eqip","state",527.06845408036
"137","0%",0,0.107621309040359,"poverty_rate","ag_eqip","state",1074.40116449125
"138","25%",0.107621309040359,0.12364892705036,"poverty_rate","ag_eqip","state",766.316196214527
"139","50%",0.12364892705036,0.142226700706511,"poverty_rate","ag_eqip","state",849.967354521963
"140","75%",0.142226700706511,NA,"poverty_rate","ag_eqip","state",826.964778968723
"141","0%",0,43.5056726746042,"pop_density","ag_eqip","state",1837.72935826514
"142","25%",43.5056726746042,112.985445054009,"pop_density","ag_eqip","state",853.541227319792
"143","50%",112.985445054009,229.066978834592,"pop_density","ag_eqip","state",456.793149609142
"144","75%",229.066978834592,NA,"pop_density","ag_eqip","state",300.192286841128
"145","0%",0,57290,"med_hh_income","ag_eqip","state",1024.76916614007
"146","25%",57290,62043,"med_hh_income","ag_eqip","state",920.408157832156
"147","50%",62043,70305,"med_hh_income","ag_eqip","state",1211.65703904829
"148","75%",70305,NA,"med_hh_income","ag_eqip","state",365.327131026065
"149","0%",0,8.565,"ghg_per_acre","ag_eqip","state",1303.91470239917
"150","25%",8.565,11.675,"ghg_per_acre","ag_eqip","state",1281.65149877148
"151","50%",11.675,17.665,"ghg_per_acre","ag_eqip","state",674.685967918465
"152","75%",17.665,NA,"ghg_per_acre","ag_eqip","state",281.659194082296
"153","0%",0,58.0885376648089,"ozone","ag_eqip","state",1394.36171275176
"154","25%",58.0885376648089,59.8642109750403,"ozone","ag_eqip","state",1154.50400345679
"155","50%",59.8642109750403,62.5809402477106,"ozone","ag_eqip","state",425.351545952934
"156","75%",62.5809402477106,NA,"ozone","ag_eqip","state",519.92467435057
"157","0%",0,6.33156456905104,"pm25","ag_eqip","state",1815.35568475798
"158","25%",6.33156456905104,7.67139115883006,"pm25","ag_eqip","state",748.999222368485
"159","50%",7.67139115883006,8.38989230240257,"pm25","ag_eqip","state",334.091926175169
"160","75%",8.38989230240257,NA,"pm25","ag_eqip","state",587.398774139719
"161","0%",0,0.151093845353934,"diesel_pm","ag_eqip","state",1848.85639332206
"162","25%",0.151093845353934,0.205776492796614,"diesel_pm","ag_eqip","state",871.430813821323
"163","50%",0.205776492796614,0.265572294098041,"diesel_pm","ag_eqip","state",427.847817575889
"164","75%",0.265572294098041,NA,"diesel_pm","ag_eqip","state",299.10944867439
"165","0%",0,0.000126032292573617,"contaminated_sites","ag_eqip","state",288.585272835755
"166","25%",0.000126032292573617,0.000183116907269884,"contaminated_sites","ag_eqip","state",736.569022442604
"167","50%",0.000183116907269884,0.000294143955083702,"contaminated_sites","ag_eqip","state",1063.61925923669
"168","75%",0.000294143955083702,NA,"contaminated_sites","ag_eqip","state",1500.31374801373
"169","0%",0,0.00420181926993587,"water_system_violations","ag_eqip","state",476.23796171292
"170","25%",0.00420181926993587,0.00829238701417754,"water_system_violations","ag_eqip","state",807.307167761236
"171","50%",0.00829238701417754,0.0222316781566855,"water_system_violations","ag_eqip","state",731.314669966906
"172","75%",0.0222316781566855,NA,"water_system_violations","ag_eqip","state",1557.16816773525
"173","0%",0,0.00354240408132415,"capacity_environment","ag_eqip","state",410.107847379734
"174","25%",0.00354240408132415,0.00424234252788835,"capacity_environment","ag_eqip","state",607.638734473423
"175","50%",0.00424234252788835,0.00522636917872104,"capacity_environment","ag_eqip","state",683.337561324296
"176","75%",0.00522636917872104,NA,"capacity_environment","ag_eqip","state",1840.82721999396
"177","0%",0,0.00323146496922346,"cnw_500","ag_eqip","state",751.308900076503
"178","25%",0.00323146496922346,0.00540951946998606,"cnw_500","ag_eqip","state",905.530441168302
"179","50%",0.00540951946998606,0.00778512084633031,"cnw_500","ag_eqip","state",541.751477122667
"180","75%",0.00778512084633031,NA,"cnw_500","ag_eqip","state",705.938799335492
"181","0%",0,0.193888039814189,"percent_poc","ag_rcpp","state",19623.7375838426
"182","25%",0.193888039814189,0.266217609816977,"percent_poc","ag_rcpp","state",4410.81253816722
"183","50%",0.266217609816977,0.436273972235218,"percent_poc","ag_rcpp","state",3037.9413530937
"184","75%",0.436273972235218,NA,"percent_poc","ag_rcpp","state",1896.62606281962
"185","0%",0,0.107621309040359,"poverty_rate","ag_rcpp","state",8108.72715078205
"186","25%",0.107621309040359,0.12364892705036,"poverty_rate","ag_rcpp","state",7884.08804818616
"187","50%",0.12364892705036,0.142226700706511,"poverty_rate","ag_rcpp","state",10735.0465556913
"188","75%",0.142226700706511,NA,"poverty_rate","ag_rcpp","state",3288.07491354187
"189","0%",0,43.5056726746042,"pop_density","ag_rcpp","state",16527.9312874411
"190","25%",43.5056726746042,112.985445054009,"pop_density","ag_rcpp","state",8690.44522778309
"191","50%",112.985445054009,229.066978834592,"pop_density","ag_rcpp","state",3117.92751437775
"192","75%",229.066978834592,NA,"pop_density","ag_rcpp","state",914.250444357738
"193","0%",0,57290,"med_hh_income","ag_rcpp","state",5604.15749381318
"194","25%",57290,62043,"med_hh_income","ag_rcpp","state",11587.4241903417
"195","50%",62043,70305,"med_hh_income","ag_rcpp","state",9741.51638974218
"196","75%",70305,NA,"med_hh_income","ag_rcpp","state",3310.52674493781
"197","0%",0,8.565,"ghg_per_acre","ag_rcpp","state",16873.6740431138
"198","25%",8.565,11.675,"ghg_per_acre","ag_rcpp","state",8571.29924951024
"199","50%",11.675,17.665,"ghg_per_acre","ag_rcpp","state",3048.56079781337
"200","75%",17.665,NA,"ghg_per_acre","ag_rcpp","state",2259.5595914714
"201","0%",0,58.0885376648089,"ozone","ag_rcpp","state",11389.3543313388
"202","25%",58.0885376648089,59.8642109750403,"ozone","ag_rcpp","state",15224.7322142753
"203","50%",59.8642109750403,62.5809402477106,"ozone","ag_rcpp","state",1721.5219759178
"204","75%",62.5809402477106,NA,"ozone","ag_rcpp","state",2158.92684186858
"205","0%",0,6.33156456905104,"pm25","ag_rcpp","state",18718.1548622388
"206","25%",6.33156456905104,7.67139115883006,"pm25","ag_rcpp","state",5483.71857911431
"207","50%",7.67139115883006,8.38989230240257,"pm25","ag_rcpp","state",2353.13910048564
"208","75%",8.38989230240257,NA,"pm25","ag_rcpp","state",3996.94256015885
"209","0%",0,0.151093845353934,"diesel_pm","ag_rcpp","state",18531.5999648713
"210","25%",0.151093845353934,0.205776492796614,"diesel_pm","ag_rcpp","state",5708.79912112286
"211","50%",0.205776492796614,0.265572294098041,"diesel_pm","ag_rcpp","state",1961.70282264416
"212","75%",0.265572294098041,NA,"diesel_pm","ag_rcpp","state",2866.3008673731
"213","0%",0,0.000126032292573617,"contaminated_sites","ag_rcpp","state",2607.33616534959
"214","25%",0.000126032292573617,0.000183116907269884,"contaminated_sites","ag_rcpp","state",3168.99948220039
"215","50%",0.000183116907269884,0.000294143955083702,"contaminated_sites","ag_rcpp","state",7340.55658329944
"216","75%",0.000294143955083702,NA,"contaminated_sites","ag_rcpp","state",17399.1708905731
"217","0%",0,0.00420181926993587,"water_system_violations","ag_rcpp","state",3140.72036307812
"218","25%",0.00420181926993587,0.00829238701417754,"water_system_violations","ag_rcpp","state",3577.7552215458
"219","50%",0.00829238701417754,0.0222316781566855,"water_system_violations","ag_rcpp","state",4716.71165588931
"220","75%",0.0222316781566855,NA,"water_system_violations","ag_rcpp","state",19032.3864083885
"221","0%",0,0.00354240408132415,"capacity_environment","ag_rcpp","state",1983.95833081193
"222","25%",0.00354240408132415,0.00424234252788835,"capacity_environment","ag_rcpp","state",5002.31698397856
"223","50%",0.00424234252788835,0.00522636917872104,"capacity_environment","ag_rcpp","state",7408.01375986564
"224","75%",0.00522636917872104,NA,"capacity_environment","ag_rcpp","state",16358.8046072527
"225","0%",0,0.00323146496922346,"cnw_500","ag_rcpp","state",6838.22883373193
"226","25%",0.00323146496922346,0.00540951946998606,"cnw_500","ag_rcpp","state",11478.1617407259
"227","50%",0.00540951946998606,0.00778512084633031,"cnw_500","ag_rcpp","state",4537.52859913576
"228","75%",0.00778512084633031,NA,"cnw_500","ag_rcpp","state",4487.63274829735
"229","0%",0,0.193888039814189,"percent_poc","ag_reap","state",1185.18037666954
"230","25%",0.193888039814189,0.266217609816977,"percent_poc","ag_reap","state",377.8321948068
"231","50%",0.266217609816977,0.436273972235218,"percent_poc","ag_reap","state",375.384839506669
"232","75%",0.436273972235218,NA,"percent_poc","ag_reap","state",206.881682884504
"233","0%",0,0.107621309040359,"poverty_rate","ag_reap","state",263.834078965199
"234","25%",0.107621309040359,0.12364892705036,"poverty_rate","ag_reap","state",1097.31396732339
"235","50%",0.12364892705036,0.142226700706511,"poverty_rate","ag_reap","state",635.067455260783
"236","75%",0.142226700706511,NA,"poverty_rate","ag_reap","state",232.8223466549
"237","0%",0,43.5056726746042,"pop_density","ag_reap","state",917.942384869496
"238","25%",43.5056726746042,112.985445054009,"pop_density","ag_reap","state",462.725150776759
"239","50%",112.985445054009,229.066978834592,"pop_density","ag_reap","state",609.374548166025
"240","75%",229.066978834592,NA,"pop_density","ag_reap","state",179.531372946149
"241","0%",0,57290,"med_hh_income","ag_reap","state",297.524894435691
"242","25%",57290,62043,"med_hh_income","ag_reap","state",1005.30096776045
"243","50%",62043,70305,"med_hh_income","ag_reap","state",630.640240545363
"244","75%",70305,NA,"med_hh_income","ag_reap","state",292.508944056366
"245","0%",0,8.565,"ghg_per_acre","ag_reap","state",778.403111211335
"246","25%",8.565,11.675,"ghg_per_acre","ag_reap","state",743.768715963178
"247","50%",11.675,17.665,"ghg_per_acre","ag_reap","state",305.192984589707
"248","75%",17.665,NA,"ghg_per_acre","ag_reap","state",425.657952709618
"249","0%",0,58.0885376648089,"ozone","ag_reap","state",1004.69481540167
"250","25%",58.0885376648089,59.8642109750403,"ozone","ag_reap","state",591.616814598071
"251","50%",59.8642109750403,62.5809402477106,"ozone","ag_reap","state",268.652841314944
"252","75%",62.5809402477106,NA,"ozone","ag_reap","state",407.936893274199
"253","0%",0,6.33156456905104,"pm25","ag_reap","state",789.302069037657
"254","25%",6.33156456905104,7.67139115883006,"pm25","ag_reap","state",766.043077763788
"255","50%",7.67139115883006,8.38989230240257,"pm25","ag_reap","state",203.210155322747
"256","75%",8.38989230240257,NA,"pm25","ag_reap","state",508.39672737449
"257","0%",0,0.151093845353934,"diesel_pm","ag_reap","state",1110.18397142674
"258","25%",0.151093845353934,0.205776492796614,"diesel_pm","ag_reap","state",385.61964059818
"259","50%",0.205776492796614,0.265572294098041,"diesel_pm","ag_reap","state",207.446462524699
"260","75%",0.265572294098041,NA,"diesel_pm","ag_reap","state",448.846874339968
"261","0%",0,0.0210141160475067,"energy_cost_hh","ag_reap","state",407.072975868435
"262","25%",0.0210141160475067,0.0238441874061422,"energy_cost_hh","ag_reap","state",558.508524280333
"263","50%",0.0238441874061422,0.0268222457948174,"energy_cost_hh","ag_reap","state",434.92244054792
"264","75%",0.0268222457948174,NA,"energy_cost_hh","ag_reap","state",815.512189607292
"265","0%",0,0.000000858412550731016,"grid_disturbances","ag_reap","state",556.735637413364
"266","25%",0.000000858412550731016,0.00000176764606697768,"grid_disturbances","ag_reap","state",339.588611612282
"267","50%",0.00000176764606697768,0.00000356464187989075,"grid_disturbances","ag_reap","state",664.479187127776
"268","75%",0.00000356464187989075,NA,"grid_disturbances","ag_reap","state",748.082141691172
"269","0%",0,0.0103052412821065,"power_generation","ag_reap","state",294.396274666541
"270","25%",0.0103052412821065,0.0121739142258761,"power_generation","ag_reap","state",692.71263379092
"271","50%",0.0121739142258761,0.0187056983311054,"power_generation","ag_reap","state",753.442106016649
"272","75%",0.0187056983311054,NA,"power_generation","ag_reap","state",512.471749999729
"273","0%",0,0.00354240408132415,"capacity_environment","ag_reap","state",428.177434618344
"274","25%",0.00354240408132415,0.00424234252788835,"capacity_environment","ag_reap","state",416.632099596515
"275","50%",0.00424234252788835,0.00522636917872104,"capacity_environment","ag_reap","state",816.164819530901
"276","75%",0.00522636917872104,NA,"capacity_environment","ag_reap","state",592.048410728078
"277","0%",0,0.193888039814189,"percent_poc","ag_reconnect","state",23137.0668184148
"278","25%",0.193888039814189,0.266217609816977,"percent_poc","ag_reconnect","state",12450.8031458547
"279","50%",0.266217609816977,0.436273972235218,"percent_poc","ag_reconnect","state",12755.6164506962
"280","75%",0.436273972235218,NA,"percent_poc","ag_reconnect","state",15490.2725047942
"281","0%",0,0.107621309040359,"poverty_rate","ag_reconnect","state",12241.415604242
"282","25%",0.107621309040359,0.12364892705036,"poverty_rate","ag_reconnect","state",10763.7733690908
"283","50%",0.12364892705036,0.142226700706511,"poverty_rate","ag_reconnect","state",16516.4585237276
"284","75%",0.142226700706511,NA,"poverty_rate","ag_reconnect","state",25302.6251694425
"285","0%",0,43.5056726746042,"pop_density","ag_reconnect","state",36733.0994514367
"286","25%",43.5056726746042,112.985445054009,"pop_density","ag_reconnect","state",20234.8989917509
"287","50%",112.985445054009,229.066978834592,"pop_density","ag_reconnect","state",5179.31897251196
"288","75%",229.066978834592,NA,"pop_density","ag_reconnect","state",450.438537422023
"289","0%",0,57290,"med_hh_income","ag_reconnect","state",33875.2090990738
"290","25%",57290,62043,"med_hh_income","ag_reconnect","state",7814.5119640984
"291","50%",62043,70305,"med_hh_income","ag_reconnect","state",17227.9436948373
"292","75%",70305,NA,"med_hh_income","ag_reconnect","state",3939.89940896318
"293","0%",0,163.291803902892,"broadband_speed","ag_reconnect","state",34988.4619544691
"294","25%",163.291803902892,214.374846897849,"broadband_speed","ag_reconnect","state",13574.6776746808
"295","50%",214.374846897849,267.867542175432,"broadband_speed","ag_reconnect","state",5123.51893493415
"296","75%",267.867542175432,NA,"broadband_speed","ag_reconnect","state",9069.70079785276
"297","0%",0,0.835097223342823,"hh_int_access","ag_reconnect","state",32180.2983115454
"298","25%",0.835097223342823,0.849904573953869,"hh_int_access","ag_reconnect","state",16973.4626558714
"299","50%",0.849904573953869,0.864495401964272,"hh_int_access","ag_reconnect","state",6806.89896735882
"300","75%",0.864495401964272,NA,"hh_int_access","ag_reconnect","state",7050.98703106331
"301","0%",0,0.193888039814189,"percent_poc","ag_urban_forest","state",2333.56680581266
"302","25%",0.193888039814189,0.266217609816977,"percent_poc","ag_urban_forest","state",4032.57725741027
"303","50%",0.266217609816977,0.436273972235218,"percent_poc","ag_urban_forest","state",2969.3053544765
"304","75%",0.436273972235218,NA,"percent_poc","ag_urban_forest","state",6826.33060896341
"305","0%",0,0.107621309040359,"poverty_rate","ag_urban_forest","state",5439.43981439052
"306","25%",0.107621309040359,0.12364892705036,"poverty_rate","ag_urban_forest","state",3557.02025826087
"307","50%",0.12364892705036,0.142226700706511,"poverty_rate","ag_urban_forest","state",2637.39949812687
"308","75%",0.142226700706511,NA,"poverty_rate","ag_urban_forest","state",4245.56836419569
"309","0%",0,43.5056726746042,"pop_density","ag_urban_forest","state",3810.73445796667
"310","25%",43.5056726746042,112.985445054009,"pop_density","ag_urban_forest","state",3434.37763315704
"311","50%",112.985445054009,229.066978834592,"pop_density","ag_urban_forest","state",4907.67135220587
"312","75%",229.066978834592,NA,"pop_density","ag_urban_forest","state",3874.70861495561
"313","0%",0,57290,"med_hh_income","ag_urban_forest","state",3217.71604082312
"314","25%",57290,62043,"med_hh_income","ag_urban_forest","state",2538.51990121404
"315","50%",62043,70305,"med_hh_income","ag_urban_forest","state",3572.80715153915
"316","75%",70305,NA,"med_hh_income","ag_urban_forest","state",6752.35972990376
"317","0%",0,8.565,"ghg_per_acre","ag_urban_forest","state",2244.29752690763
"318","25%",8.565,11.675,"ghg_per_acre","ag_urban_forest","state",2666.79290733327
"319","50%",11.675,17.665,"ghg_per_acre","ag_urban_forest","state",4288.44488942608
"320","75%",17.665,NA,"ghg_per_acre","ag_urban_forest","state",6950.99871841137
"321","0%",0,58.0885376648089,"ozone","ag_urban_forest","state",3888.46810938263
"322","25%",58.0885376648089,59.8642109750403,"ozone","ag_urban_forest","state",3099.62785640574
"323","50%",59.8642109750403,62.5809402477106,"ozone","ag_urban_forest","state",2902.11829424615
"324","75%",62.5809402477106,NA,"ozone","ag_urban_forest","state",3797.94635736721
"325","0%",0,6.33156456905104,"pm25","ag_urban_forest","state",3128.71266181876
"326","25%",6.33156456905104,7.67139115883006,"pm25","ag_urban_forest","state",2983.11078632505
"327","50%",7.67139115883006,8.38989230240257,"pm25","ag_urban_forest","state",4922.92372458166
"328","75%",8.38989230240257,NA,"pm25","ag_urban_forest","state",2837.1230292522
"329","0%",0,0.151093845353934,"diesel_pm","ag_urban_forest","state",4626.04912219919
