"","state","county","GEOID","year","total_county_pop","acp_outreach","ag_rcpp","ag_reap","ag_reconnect","ag_urban_forest","airport_infrastructure_comp","airport_infrastructure_formula","airport_terminal","asap","bric","bridge","brownfield","buses","capital_investment","carbon_capture_dem","cdbg_entitlement","charge_fuel_infra","clean_hydrogen","clean_school_bus","climate_coasts","coc","crisi","culvert_restore","dac_hubs","dhs_flood","doe_battery","doe_carbon_storage","doe_grid_innovation","doe_grid_resilience","doe_hydrogen_electro","doe_rural_energy","doi_aging_infra","doi_drought","doi_rural_water","doi_water_recycle","doi_water_storage","dot_tc","elderly","epa_great_lakes","ferry_rural_comms","fhwa_carbon","fhwa_protect_comp","fhwa_stp","fhwa_tap","fra_intercity_rail","fra_rail_cross","fs_wildfire","fta_5307_5340","fta_5310","fta_5337_combined","fta_5339","fta_rail_vehicle","grrp_comp","grrp_elements","grrp_leading","hcv","home","hud_disability","hud_esg","hud_hopwa","indian_health","indian_water","infra","land_port","low_no_emission","mega","motor_carrier_safety","national_lab","natural_gas","ntia_middle_mile","ports","public_hsg","public_hsg_cap","raise","reconnect_community","rural_surface","s8_project","safe_streets","smart_grid","tribal_broadband","ttp"
"1","AK","Aleutians East Borough",2013,"2022-2023",3389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946961.640601947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583062.85039835,0,0,0,0,0,0,0,0,0,228583.357922691
"2","AK","Aleutians West Census Area",2016,"2022-2023",5708,0,0,0,0,0,0,0,0,0,0,0,700770.847932726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59565.5220742817,0,0,562237.736510161,0,516948.318149965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780290.81990189,0,0,3910301.33146461,0,0,0,152140.679747722,0,175076.033637001,198310.791871058
"3","AK","Anchorage Municipality",2020,"2022-2023",292090,4718.16221027765,0,0,0,6847.20462871033,0,13184.1624156938,23390.0510116745,0,0,0,3423.60231435516,0,0,0,12897.1378684652,0,0,0,0,24776.3942620425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.479167379917,7446.44801259886,0,0,25019.1208189257,0,217816.193638947,13753.1548495327,0,0,0,141344.571878531,1832.19213256188,245165.062138382,3811.53753979938,0,0,0,0,377719.418672327,5314.42706015269,2042.27464137766,1130.84323325003,3166.71231469753,0,0,0,0,0,0,0,0,0,0,235201.4789962,70495.6486014585,23981.290013352,0,1840.7340203362,0,36710.5138827074,0,0,0,381.019548769215
"4","AK","Bethel Census Area",2050,"2022-2023",18263,0,0,0,3477645.51278541,0,0,1312106.44472431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7300.7172972677,0,0,0,0,0,0,0,0,0,11884.0278158024,0,0,0,0,0,0,0,0,25569.4026173137,0,0,0,0,10927550.3476975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27697.3662596507,342.933800580408,0,5321831.35300882,830067.130263374
"5","AK","Bristol Bay Borough",2060,"2022-2023",739,0,0,0,15735416.7794317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5069928.28146143,0,0,0,0,0,0,0,0,0,0,0,0,0,180423.545331529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24058591.3396482,0,0,0,17994316.6441137,0,0,0,0,0,0,1396047.36129905
"6","AK","Chugach Census Area",2063,"2022-2023",6495,0,0,0,3295602.77136259,0,0,0,0,0,0,0,0,323871.593533487,0,0,0,0,0,0,0,0,0,1193648.0369515,0,0,0,0,0,0,0,0,0,0,0,0,0,20528.5604311008,0,0,1894672.20939184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1433429.56120092,0,0,0,0,0,0,0,0,0,2174625.55812163,0,0,0,0,0,0,12563.5103926097,0,113780.754426482,155705.619707467
"7","AK","Copper River Census Area",2066,"2022-2023",2894,0,0,0,6184340.7049067,0,0,0,0,0,0,0,345542.501727713,726864.547339323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46072.2183828611,0,0,3143276.77954388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4880508.98410504,0,0,0,0,0,0,0,0,82586.7311679337,386016.931582585
"8","AK","Denali Borough",2068,"2022-2023",2502,0,0,0,0,0,0,0,0,0,0,0,399680.255795364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95525.9792166267,19689.0487609912
"9","AK","Dillingham Census Area",2070,"2022-2023",4934,0,0,0,2356804.41832185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27023.3076611269,64397.85164167,0,0,0,917302.391568707,0,0,0,0,50668.8285366842,0,0,0,0,0,0,0,0,0,0,0,0,0,1093977.30036482,0,0,0,0,0,0,0,0,0,0,0,0,77016.61937576,0,0,0,0,0,5985508.91771382,395869.679773004
"10","AK","Fairbanks North Star Borough",2090,"2022-2023",98455,0,0,0,0,0,0,78768.2799248388,0,0,0,0,0,0,0,0,0,0,0,0,0,2209.93347214463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3057.02097404906,0,0,19059.1742420395,7639.44949469301,0,0,0,0,0,43750.9623685948,0,11131.1360520035,0,0,0,0,0,0,0,11027.8706007821,0,0,0,0,174177.136762988,0,25338.7639022904,0,0,0,0,0,0,0,0,0,0,0,25266.8528769489,0,0,0,0
"11","AK","Haines Borough",2100,"2022-2023",2547,0,0,0,4321114.64468002,0,0,0,0,0,0,0,0,0,0,0,0,551173.144876325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52396.5449548488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78040.0471142521,0,0,861706.321162152
"12","AK","Hoonah-Angoon Census Area",2105,"2022-2023",2135,0,0,0,21503924.5901639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12608899.2974239,0,0,0,0,0,62451.0538641686,0,0,5763885.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887801.405152225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234192.037470726,420501.170960187
"13","AK","Juneau City and Borough",2110,"2022-2023",32099,13505.311691953,0,0,0,0,0,86889.4046543506,0,0,0,0,0,70531.7922676719,0,0,0,0,0,0,0,8107.16844761519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82751.7991214679,13629.6146297392,0,383373.189195925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38673.1673883922,0,34041.5589270694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512601.638680333,20359.5127574068,0,91562.4162746503,11402.2243683604,0,1554537.64914795,8749.61836817346
"14","AK","Kenai Peninsula Borough",2122,"2022-2023",58809,0,0,0,214599.074971518,0,0,781299.426958459,0,0,0,0,34008.4000748185,0,0,0,0,0,0,0,85021.0001870462,1144.60371711813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54570.7799826557,0,0,0,0,0,0,44729.106089204,0,0,0,0,0,0,0,0,0,0,4705.0451461511,0,0,25131.1533948885,0,0,0,0,0,0,0,0,302322.75672091,0,0,0,0,0,0,0,16324.0320359129,0,135897.124589774,53120.015643864
"15","AK","Ketchikan Gateway Borough",2130,"2022-2023",13833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231999.783127304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7828.95973396949,0,0,0,0,0,0,309798.019229379,0,0,0,0,0,0,0,0,0,0,0,0,21660.0881948963,0,0,95945.2034988795
"16","AK","Kodiak Island Borough",2150,"2022-2023",13383,0,0,0,0,0,0,0,0,0,0,96241.5004109691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747216.618097586,0,0,0,0,0,0,0,0,239800.717327953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665942.464320406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37360.8309048793,177485.018306807
"17","AK","Kusilvak Census Area",2158,"2022-2023",8298,0,0,0,2108941.91371415,0,0,1928175.46396722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16068.0886960713,0,0,0,0,2442998.31284647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646570.25789347,0,0,0,0,0,0,0,0,2142600.50614606,0,0,0,0,0,0,0,0,0,271149.67462039,1454469.14919258
"18","AK","Lake and Peninsula Borough",2164,"2022-2023",1156,0,0,0,10059232.6989619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328719.723183391,0,0,0,0,0,0,0,0,0,0,6288927.33564014,0,0,0,0,0,115339.965397924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12411269.8961938,0,0,0,0,0,0,0,0,15380016.4359862,0,0,0,0,0,0,0,0,0,6920415.22491349,4576490.48442907
"19","AK","Matanuska-Susitna Borough",2170,"2022-2023",107360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601.974664679583,0,202100.502980626,0,0,0,82715.620342772,0,0,0,0,0,0,0,0,0,0,1962.73286140089,0,0,0,0,0,0,76383.7369597615,0,0,0,0,0,0,0,0,0,0,0,0,1314.20454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2317.90238450075,4467.2131147541,0,4657.22801788376,24785.7023099851
"20","AK","Nome Census Area",2180,"2022-2023",10009,0,0,0,6992006.69397542,0,0,820061.944250175,0,0,0,0,0,0,0,0,0,0,0,0,0,5909.08182635628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2222803.47687082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10709545.708862,0,0,0,0,0,0,0,0,1776331.20191827,0,0,0,0,0,999100.809271656,0,0,0,99910.0809271655,1815640.22379858
"21","AK","North Slope Borough",2185,"2022-2023",9375,0,0,0,5970136.53333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273300.48
"22","AK","Northwest Arctic Borough",2188,"2022-2023",7709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7109871.57867428,0,0,0,0,0,0,11419.5096640291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5709658.58087949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8883097.54832015,530522.376443118
"23","AK","Petersburg Borough",2195,"2022-2023",3278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40675.1067724222,0,0,979027.760829774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3050640.63453325,0,0,186523.489932886,0,0,0,440084.80780964
"24","AK","Prince of Wales-Hyder Census Area",2198,"2022-2023",6338,0,0,0,4629964.81539918,0,0,0,0,0,0,0,315556.958030925,63467.4976333228,0,0,0,0,0,0,0,0,0,987503.15556958,0,0,0,0,0,0,0,0,0,0,0,0,0,21037.0779425686,0,0,506351.057115809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30099.8737772168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15718.5231934364,0,1652168.98075103,1690732.72325655
"25","AK","Sitka City and Borough",2220,"2022-2023",8569,0,0,0,0,0,0,1983895.43704049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15521.1810012837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915216.244602637,0,0,0,64184.8523748395,0,0,53796.1255689112
"26","AK","Skagway Municipality",2230,"2022-2023",1300,0,0,0,8466060.76923077,0,0,0,0,0,15310683.0769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6997417.69230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56216.1538461538
"27","AK","Southeast Fairbanks Census Area",2240,"2022-2023",6911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19292.8664447981,0,0,0,0,0,0,0,0,0,91014.3249891477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24598466.2132832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3990127.91202431,176576.182896831
"28","AK","Wrangell City and Borough",2275,"2022-2023",2510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157370.517928287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188578.884462151,0,0,1278586.85258964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503016.334661355
"29","AK","Yakutat City and Borough",2282,"2022-2023",597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7758299.83249581,0,0,0,0,0,0,0,0,0,0,0,0,0,223338.358458961,0,0,5375633.16582915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622658.291457286
"30","AK","Yukon-Koyukuk Census Area",2290,"2022-2023",5305,0,0,0,15135881.6211122,0,0,105035.815268615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4914231.85673893,0,0,0,0,0,25133.4590009425,0,0,0,0,0,0,0,0,0,47099.5287464656,0,0,0,0,0,0,0,0,0,0,0,0,0,1835901.03675778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5386573.23279925,1532000.37700283
