"","program","percent_poc","percent_poc_funded","poverty_rate","poverty_rate_funded","pop_density","pop_density_funded","med_hh_income","med_hh_income_funded","access_to_car","access_to_car_funded","age_over_64","age_over_64_funded","age_under_18","age_under_18_funded","airports_primary","airports_primary_funded","annual_vehicle_mi_per_hh","annual_vehicle_mi_per_hh_funded","avg_hh_person_trips","avg_hh_person_trips_funded","bridges","bridges_funded","bridges_poor_condition","bridges_poor_condition_funded","broadband_speed","broadband_speed_funded","capacity_environment","capacity_environment_funded","capacity_housing","capacity_housing_funded","capacity_transport","capacity_transport_funded","cnw_500","cnw_500_funded","commute_time","commute_time_funded","contaminated_sites","contaminated_sites_funded","diesel_pm","diesel_pm_funded","docks","docks_funded","employment_access_index","employment_access_index_funded","freq_fatal_accidents","freq_fatal_accidents_funded","ghg_per_acre","ghg_per_acre_funded","green_commute","green_commute_funded","hh_int_access","hh_int_access_funded","highway_miles","highway_miles_funded","homelessness","homelessness_funded","housing_cost_burden","housing_cost_burden_funded","housing_units","housing_units_funded","hud_202","hud_202_funded","hud_hcv","hud_hcv_funded","hud_pbs8","hud_pbs8_funded","hud_ph","hud_ph_funded","incomplete_kitchen","incomplete_kitchen_funded","incomplete_plumbing","incomplete_plumbing_funded","overcrowded_housing","overcrowded_housing_funded","ozone","ozone_funded","permits","permits_funded","pm25","pm25_funded","pub_transit_commute","pub_transit_commute_funded","pub_transit_stops","pub_transit_stops_funded","rail_transit_km","rail_transit_km_funded","rr_freight_route_miles","rr_freight_route_miles_funded","rr_incident_killed","rr_incident_killed_funded","rr_incident_number","rr_incident_number_funded","rr_pax_route_miles","rr_pax_route_miles_funded","stations_elevated","stations_elevated_funded","stations_subway","stations_subway_funded","superfund_site","superfund_site_funded","transport_costs","transport_costs_funded","vacancy_rate","vacancy_rate_funded","water_system_violations","water_system_violations_funded"
"11","doi_aging_infra",-0.746894409937888,-0.523084886128364,-0.749689440993789,-0.330227743271221,-0.748136645962733,-0.552380952380953,-0.749922336129232,-0.0490059024541782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.746748916305435,-0.255279537623653
"12","doi_rural_water",-0.749068322981366,-0.205745341614907,-0.749068322981366,0.117701863354037,-0.749689440993789,-0.742546583850932,-0.749456352904629,0.0427556492024259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.749360613810742,-0.151854219948849,NA,NA,NA,NA,NA,NA,NA,NA,-0.744990176817289,-0.246707098317246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.748442367601246,-0.609576053094948,NA,NA,NA,NA,-0.746415471823941,-0.143569595662322
"13","doi_water_recycle",-0.745341614906832,-0.293732354601919,-0.749378881987578,-0.193958215697346,-0.74472049689441,-0.468012422360248,-0.750232991612302,0.041190092914231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.749360613810742,-0.168652638921181,NA,NA,NA,NA,NA,NA,NA,NA,-0.750098231827112,0.214520450080372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75,-0.00644293401302751,NA,NA,NA,NA,-0.749083027675892,-0.024712783048895
"14","doi_water_storage",-0.746894409937888,-0.336033978808915,-0.748447204968944,-0.211088783339422,-0.748757763975155,-0.519857508220679,-0.747903075489282,-0.074794876011914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.749360613810742,-0.374040920716112,NA,NA,NA,NA,NA,NA,NA,NA,-0.746561886051081,-0.171801687276089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75,NA,NA,NA,NA,NA,-0.746748916305435,-0.257782005766628
"15","elderly",-0.635093167701863,-0.280099127925215,-0.67639751552795,-0.178427912667043,-0.565527950310559,-0.395148691887822,-0.702236815954956,-0.151293927155996,NA,NA,-0.708695652173913,-0.0860185708011796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.638116550968213,-0.287888475548322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.70855020048746,-0.111868686868687,-0.620807453416149,-0.263386191103583,-0.617080745341615,-0.333312943095551,0.00698757763975116,-0.343378662400401,NA,NA,NA,NA,NA,NA,-0.717701863354037,-0.0793282200890895,-0.718633540372671,-0.0902346445824709,-0.627639751552795,-0.256290388355606,NA,NA,-0.713623867223298,-0.0938859910581221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.714596273291926,-0.0383548215069953,NA,NA
"16","ferry_rural_comms",-0.749378881987578,0.0159075224292616,-0.75,NA,-0.75,-0.356383712905452,-0.750232991612302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.747609942638623,-0.23762481410665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.749360613810742,-0.503942881500427,-0.846428571428572,-0.382815734989648,NA,NA,NA,NA,NA,NA,-0.934914067472947,-0.477721196690007,-0.748408656906429,-0.226465803805079,NA,NA,NA,NA,-0.747826086956522,-0.333074534161491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.748757763975155,-0.341666666666667,-0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735752944921999,0.381407195160777,NA,NA,NA,NA
"17","fra_rail_cross",-0.739130434782609,-0.351757110166722,-0.748447204968944,0.00196142530238641,-0.732919254658385,-0.411915658711997,-0.749456352904629,-0.0227166821994408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.736934353091141,-0.357271644694911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.741048593350384,-0.279327634944138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.749651081646894,-0.0232443897601648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.967857142857143,-0.696551160509971,-0.749363462762572,0.248266273577005,-0.823201782304265,-0.22195048410332,-0.745225970719287,-0.0167091024824952,-0.861871419478039,-0.375992495560991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","fs_wildfire",-0.743167701863354,-0.342922321907829,-0.744409937888199,-0.259903381642513,-0.748136645962733,-0.368842496741048,-0.743553898726313,-0.132810971891432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74616368286445,-0.311223201035647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.746581727781231,-0.499510853302028,NA,NA,NA,NA,NA,NA,-0.742274609748327,-0.33200791319088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7436433859028,-0.390780277112216,NA,NA,-0.748471194077889,-0.371951825229371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","fta_5307_5340",-0.564596273291926,-0.21003914401788,-0.672049689440994,-0.282335798871368,-0.0906832298136648,-0.345874134077523,-0.703479341410376,-0.325033026445242,-0.623291925465838,-0.232366052134398,NA,NA,NA,NA,NA,NA,-0.737185609678447,-0.484616180661969,-0.557520713830465,-0.315279768172355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51502557544757,-0.29958738616892,NA,NA,-0.603726708074534,-0.232900732252448,NA,NA,NA,NA,NA,NA,-0.748249522597072,-0.543924233086522,NA,NA,NA,NA,-0.636335403726708,-0.110309571144561,NA,NA,-0.738201530612245,-0.413415552602751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.53167701863354,-0.22447519849845,0.0904517941211381,-0.0636911017968618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735752944921999,-0.387168077178445,NA,NA,NA,NA
"20","fta_5310",-0.639130434782609,-0.207812009549808,-0.713975155279503,-0.173758952945317,-0.553416149068323,-0.365548400597339,-0.726157191674433,-0.153465711579457,NA,NA,-0.732608695652174,-0.157104096715589,NA,NA,NA,NA,-0.741801973893664,-0.42738800618018,-0.634161886551944,-0.347968927058231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.615409207161125,-0.32045879141323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.68416149068323,-0.185003757145711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61832298136646,-0.289748223678578,-0.0246864738695256,-0.151944479667581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735752944921999,-0.392845110827357,NA,NA,NA,NA
"21","fta_5337_combined",-0.690683229813665,-0.25875211744777,-0.733229813664596,-0.379954827780915,-0.63416149068323,-0.409175607001694,-0.737340789064927,-0.46860241343,-0.705900621118012,-0.335742518351214,NA,NA,NA,NA,NA,NA,-0.745144858325374,-0.401685706843301,-0.679891650732951,-0.331907990034185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.680626598465473,-0.29409024479357,NA,NA,-0.668012422360248,-0.248898927159797,NA,NA,NA,NA,NA,NA,-0.749681731381286,-0.542073458050543,NA,NA,NA,NA,-0.701863354037267,-0.173531902879729,NA,NA,-0.746811224489796,-0.186694109461967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.661490683229814,-0.301524562394127,-0.582802547770701,-0.168115642319463,-0.0108695652173914,-0.249181253529079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735752944921999,-0.488001174247592,NA,NA,NA,NA
"22","fta_5339",-0.639130434782609,-0.21375043991896,-0.713975155279503,-0.28491862688214,-0.553416149068323,-0.382699532972521,-0.726157191674433,-0.334644461222061,NA,NA,NA,NA,NA,NA,NA,NA,-0.741801973893664,-0.438907586419401,-0.634161886551944,-0.295883001140981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.615409207161125,-0.306831200087732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.68416149068323,-0.14438235378045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61832298136646,-0.255924876109309,-0.00630612810064435,-0.0782900576467261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735752944921999,-0.39131371725921,NA,NA,NA,NA
"23","fta_rail_vehicle",-0.746894409937888,-0.24296066252588,-0.749689440993789,-0.016252587991718,-0.744099378881988,-0.50952380952381,-0.750232991612302,0.131584786757201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.743785850860421,-0.459619411818264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74616368286445,-0.303853062964316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74203821656051,-0.199916590840158,-0.970341614906832,-0.598861283643892,-0.749363462762572,0.139204631566184,NA,NA,NA,NA,-0.864099299809039,-0.338774211148495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","fy_2022_ttp",-0.698447204968944,-0.0960372930146917,-0.712111801242236,-0.0951584564115199,-0.727639751552795,-0.488799128619406,-0.718080149114632,-0.0731052123320498,NA,NA,NA,NA,NA,NA,NA,NA,-0.691499522445081,-0.12945427137482,-0.669375398342894,-0.366695340702095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.724104859335038,-0.36776452434473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.70516399162596,-0.149541744183844,NA,NA,-0.673291925465838,-0.228717955367678,NA,NA,-0.716517857142857,-0.100494692918921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.691304347826087,-0.33316335792736,-0.692675159235669,-0.516796204938633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","hcv",-0.343788819875776,-0.188624705892959,-0.554968944099379,-0.224723471770232,-0.136024844720497,-0.263044830477152,-0.593662628145387,-0.256093739502978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.529092071611253,-0.276507615098794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.668670886075949,-0.136650989325935,-0.190372670807454,-0.183499806182333,-0.276086956521739,-0.228760288112216,NA,NA,-0.0189440993788822,-0.197235619179835,NA,NA,NA,NA,-0.630124223602484,-0.301279647341993,-0.640683229813665,-0.275462683337991,-0.213664596273292,-0.184602989299462,NA,NA,-0.631311475409836,-0.230616003235861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.659006211180124,-0.294697509217607,NA,NA
"26","home",-0.672360248447205,-0.251258659818442,-0.724534161490683,-0.0403696846631627,-0.62360248447205,-0.386332417582417,-0.741068654861758,0.00914940139078113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.697570332480818,-0.284963358253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.734177215189873,-0.154314751703992,-0.673913043478261,-0.248747312470139,-0.66583850931677,-0.314251373626374,NA,NA,NA,NA,NA,NA,NA,NA,-0.743788819875776,0.0749955207835645,-0.746583850931677,0.0993609651218348,-0.692857142857143,-0.237284997611084,NA,NA,-0.744754098360656,-0.0321705548549812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.746583850931677,0.037234233158146,NA,NA
