"","program","percent_poc","percent_poc_funded","poverty_rate","poverty_rate_funded","pop_density","pop_density_funded","med_hh_income","med_hh_income_funded","access_to_car","access_to_car_funded","age_over_64","age_over_64_funded","age_under_18","age_under_18_funded","airports_primary","airports_primary_funded","annual_vehicle_mi_per_hh","annual_vehicle_mi_per_hh_funded","avg_hh_person_trips","avg_hh_person_trips_funded","bridges","bridges_funded","bridges_poor_condition","bridges_poor_condition_funded","broadband_speed","broadband_speed_funded","capacity_environment","capacity_environment_funded","capacity_housing","capacity_housing_funded","capacity_transport","capacity_transport_funded","cnw_500","cnw_500_funded","commute_time","commute_time_funded","contaminated_sites","contaminated_sites_funded","diesel_pm","diesel_pm_funded","docks","docks_funded","employment_access_index","employment_access_index_funded","freq_fatal_accidents","freq_fatal_accidents_funded","ghg_per_acre","ghg_per_acre_funded","green_commute","green_commute_funded","hh_int_access","hh_int_access_funded","highway_miles","highway_miles_funded","homelessness","homelessness_funded","housing_cost_burden","housing_cost_burden_funded","housing_units","housing_units_funded","hud_202","hud_202_funded","hud_hcv","hud_hcv_funded","hud_pbs8","hud_pbs8_funded","hud_ph","hud_ph_funded","incomplete_kitchen","incomplete_kitchen_funded","incomplete_plumbing","incomplete_plumbing_funded","overcrowded_housing","overcrowded_housing_funded","ozone","ozone_funded","permits","permits_funded","pm25","pm25_funded","pub_transit_commute","pub_transit_commute_funded","pub_transit_stops","pub_transit_stops_funded","rail_transit_km","rail_transit_km_funded","rr_freight_route_miles","rr_freight_route_miles_funded","rr_incident_killed","rr_incident_killed_funded","rr_incident_number","rr_incident_number_funded","rr_pax_route_miles","rr_pax_route_miles_funded","stations_elevated","stations_elevated_funded","stations_subway","stations_subway_funded","superfund_site","superfund_site_funded","transport_costs","transport_costs_funded","vacancy_rate","vacancy_rate_funded","water_system_violations","water_system_violations_funded"
"1","ag_reconnect",-0.719565217391304,-0.222607685704186,-0.721739130434783,-0.266101095793567,-0.745962732919255,-0.469080442357219,-0.721808014911463,-0.21484478591291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.716459627329193,-0.173706004140787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.718944099378882,-0.209469524819472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","airport_infrastructure",-0.748136645962733,-0.372556390977444,-0.749378881987578,-0.240822164105917,-0.745652173913044,-0.330827067669173,-0.750232991612302,0.125758244633018,NA,NA,NA,NA,NA,NA,-0.93586887332909,-0.466916814633656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.746803069053708,-0.210459011980078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","airport_terminal",-0.740372670807453,-0.246565582754841,-0.746894409937888,-0.246547314578005,-0.730745341614907,-0.440171720862258,-0.74914569742156,-0.0702099665588511,NA,NA,NA,NA,NA,NA,-0.933959261616804,-0.428702212902984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.742647058823529,-0.255115089514066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","asap",-0.746273291925466,-0.186783988957902,-0.749068322981366,-0.536128364389234,-0.744099378881988,-0.491925465838509,-0.749922336129232,-0.351920886403645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.744582536647546,-0.335988952623752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.747442455242967,-0.354184427394146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.744099378881988,-0.404071773636991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.744099378881988,-0.493478260869565,-0.737261146496815,-0.289455060155697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.988819875776398,-0.513802622498275,-0.991459627329192,-0.523585231193927,NA,NA,-0.735752944921999,NA,NA,NA,NA,NA
"5","bridge",-0.745652173913044,-0.322488125685056,-0.747826086956522,-0.223027036901717,-0.742546583850932,-0.503032517354768,-0.74914569742156,-0.101470131388995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74282982791587,-0.484253739736812,-0.749363462762572,-0.0805968472685062,-0.748408656906429,-0.0755607144194408,NA,NA,NA,NA,NA,NA,-0.747122762148338,-0.229859335038364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","buses",-0.742546583850932,-0.326000690131125,-0.747826086956522,-0.11790027605245,-0.741304347826087,-0.324025189786059,-0.749456352904629,-0.289103758931345,NA,NA,NA,NA,NA,NA,NA,NA,-0.744348933460681,-0.0867160140082781,-0.734703632887189,-0.352652963671128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.743925831202046,-0.360773657289002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735093167701863,-0.235714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.733850931677019,-0.355106970324362,-0.729299363057325,-0.263004246284501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735752944921999,-0.111648360394778,NA,NA,NA,NA
"7","capital_investment",-0.739751552795031,-0.323150762281197,-0.749689440993789,-0.299887069452287,-0.736335403726708,-0.449138904573687,-0.750232991612302,-0.396982405603095,-0.742857142857143,-0.440259740259741,NA,NA,NA,NA,NA,NA,-0.750238777459407,0.261095916181876,-0.739165073295093,-0.357443942290979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.745843989769821,-0.194722157637759,NA,NA,-0.742857142857143,-0.39257481648786,NA,NA,NA,NA,NA,NA,-0.75,NA,NA,NA,NA,NA,-0.740062111801242,-0.393915866741954,NA,NA,-0.75,-0.0938079777365494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.736645962732919,-0.467476002258611,-0.71656050955414,-0.279241459177765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.735752944921999,NA,NA,NA,NA,NA
"8","cdbg_entitlement",-0.640372670807453,-0.237506246876562,-0.709627329192547,-0.0744270721781967,-0.569875776397516,-0.359216820161348,-0.732680956818887,-0.0628633559668041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.667199488491049,-0.289727247720678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.726582278481013,-0.119919301199309,-0.637888198757764,-0.226336831584208,-0.619254658385093,-0.320561147997429,NA,NA,NA,NA,NA,NA,-0.708695652173913,-0.0529592346683799,-0.737577639751553,-0.00860284143642498,-0.741614906832298,0.0971371457128578,-0.662422360248447,-0.247401299350325,NA,NA,-0.741967213114754,0.0735764085170531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.742236024844721,0.0157456985792816,NA,NA
"9","clean_school_bus",-0.714285714285714,-0.282014526975001,-0.71055900621118,-0.160529490272574,-0.714596273291925,-0.353565012063036,-0.718080149114632,-0.109699896533753,NA,NA,NA,NA,-0.719875776397516,-0.223421538935374,NA,NA,-0.730977395733843,-0.088270040861862,NA,NA,NA,NA,NA,NA,NA,NA,-0.710997442455243,-0.31849666744168,NA,NA,-0.714833759590793,-0.296522831195001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.666666666666667,-0.0808685974093635,NA,NA,NA,NA
"10","coc",-0.654347826086957,-0.232059343682452,-0.703726708074534,-0.13707314155852,-0.565217391304348,-0.326196741479919,-0.725535880708295,-0.198599443725849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.650895140664962,-0.269539316533981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.712341772151899,-0.100998119547995,-0.626708074534161,-0.214032183652721,-0.620807453416149,-0.277802079506523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.652484472049689,-0.20437174810119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.72888198757764,-0.285873196237409,NA,NA
