"","state","GEOID","year","total_state_pop","acp_outreach","ag_acep","ag_csp","ag_eqip","ag_rcpp","ag_reap","ag_reconnect","ag_urban_forest","airport_infrastructure_comp","airport_infrastructure_formula","airport_terminal","asap","bric","bridge","brownfield","buses","capital_investment","carbon_capture_dem","cdbg_entitlement","charge_fuel_infra","clean_hydrogen","clean_school_bus","climate_coasts","coc","crisi","culvert_restore","cwsrf_emerging_combined","cwsrf_general_combined","dac_hubs","dhs_flood","doe_battery","doe_bead_initial","doe_carbon_storage","doe_grid_innovation","doe_grid_resilience","doe_hydrogen_electro","doe_nuclear","doe_rural_energy","doe_weatherization","doi_aging_infra","doi_drought","doi_rural_water","doi_water_recycle","doi_water_storage","dot_tc","dwsrf_emerging_combined","dwsrf_general_combined","dwsrf_lead_combined","elderly","epa_great_lakes","ferry_rural_comms","fhwa_app","fhwa_bridge","fhwa_carbon","fhwa_cmaq","fhwa_ev","fhwa_highway_freight","fhwa_metro_plan","fhwa_nhpp","fhwa_protect","fhwa_protect_comp","fhwa_railway","fhwa_safety","fhwa_spr","fhwa_stp","fhwa_tap","fmcsa_21","fra_intercity_rail","fra_rail_cross","fs_wildfire","fta_5305_combined","fta_5307_5340","fta_5310","fta_5311_combined","fta_5329_e","fta_5337_combined","fta_5339","fta_rail_vehicle","grrp_comp","grrp_elements","grrp_leading","hcv","home","hud_disability","hud_esg","hud_hopwa","hud_htf","indian_health","indian_water","infra","land_port","low_no_emission","mega","motor_carrier_safety","national_lab","natural_gas","nhtsa","ntia_middle_mile","ports","public_hsg","public_hsg_cap","raise","reconnect_community","rural_surface","s8_project","safe_streets","smart_grid","tribal_broadband","ttp","usace"
"11","GA","13","2022-2023",10516579,1000000,0,5249389,5166085,35329268,3024930,45965443,17539100,0,110406956,49500000,0,0,772000,4000000,0,16269200,0,165319233,6120067,0,169395945,420000,96419176,0,0,6794000,80435080,0,1548127,178218568,100000000,0,249129382,0,6000000,0,6334444,9069657,0,0,0,0,0,3291250,56324000,133655000,128193920,24791896,0,4000000,27620003,90000000,81874869,149551597,48727401,90454515,20704050,1887458034,93097592,1500000,17871075,196150932,64836757,787177507,112680864,27613156,0,3218460,1379593,10485815,277027911,23651278,33833013,3636918,169812224,25493517,0,0,750000,0,1379174851,85261653,4952338,14493449,77808207,28508443,0,0,15073107,0,53312564,0,5894919,0,8406923,41145338,14971998,0,221536017,167295012,100118368,228745161,12000000,533025543,43259102,0,0,0,54000000
"12","HI","15","2022-2023",1420074,1090000,0,568733,1350228,6483580,70987,0,42585500,1000000,97751578,11200000,0,8329318,0,1000000,12000000,125000000,0,26266523,0,0,4990000,23972000,32674398,0,0,3112000,36846650,0,0,0,100000000,0,17925000,95313716,0,0,0,578954,0,0,0,1080244,0,0,22750000,52801080,70891500,6705245,0,0,0,145700528,10592585,22799112,6382785,11848605,4660352,244190425,12044527,5255908,2450000,25239159,8457453,104010253,12409181,2916851,0,0,6062427,1551480,91047415,3755774,3923191,914572,2846936,15776540,0,0,0,0,395397050,12558171,2264272,2305324,6333312,6810836,0,0,74634000,0,63186682,0,0,0,0,16058828,37356955,47326300,60510409,29928216,99837010,19145625,0,70198355,18630400,0,17284763,1771709,0
"13","IA","19","2022-2023",3150011,83234,9610808,5114170,3855498,61266564,95513,15254038,15730743,0,21795154,39019014,0,13872342,300000,4142400,36771416,0,0,75780517,0,0,17440000,0,25770665,16233729,0,5437000,64386120,0,0,0,100000000,0,58000000,0,0,0,9480000,11993829,0,0,45166667,0,0,295000,35425000,81550960,96239370,2841951,0,0,0,186820360,32051396,24860342,18546651,34428848,5285734,738879541,36444735,69519400,11503024,72279756,24598069,316873647,35392165,11817261,0,7756862,0,1685511,67058481,7661324,18558315,0,250551,12431906,0,0,0,7500000,246268680,26490584,1186033,6588558,3705022,7950546,4816442,0,34000000,0,30514611,0,3998460,24500000,0,19115165,60990070,0,19621699,23466116,59842000,1958000,57300000,115470034,24834779,0,424652,493950,0
"14","ID","16","2022-2023",1754367,280641,0,1720181,2486109,9222561,7191103,22764624,5715890,1500000,10032369,6160000,0,7082856,0,0,384000,0,0,25346551,6202856,0,5135000,0,7464215,0,7029950,1972000,23355620,0,0,0,100000000,0,0,6214275,0,0,0,4947543,68080000,0,0,4000000,0,542859,22750000,52801080,70891500,1783754,0,0,0,90000000,18269778,28202676,10793871,20037069,4314506,421171317,20773991,0,3921758,43835557,14362815,182067198,18729526,6158092,0,36000000,883844,1551480,30744022,4948074,11792232,0,0,10550114,0,0,0,0,109181649,13723938,1072279,2220139,0,6048846,0,5581,0,45000000,17386450,0,1031000,0,0,10593696,6209733,0,2343317,3429920,41508512,10900000,0,62130408,2512332,20984817,500000,7532844,6100000
"15","IL","17","2022-2023",12716164,1620000,929864,4905076,2827331,20503717,35168722,121820638,23339787,0,9949024,82549404,185080000,28077460,144048000,7200171,64519735,265476132,0,320864293,14962506,333333333,541326843,0,259355081,14586009,0,18172000,215158060,0,6774196,0,100000000,17736972,0,0,0,0,0,33761146,0,0,0,0,0,1242859,80196000,180028650,389553360,113203080,0,0,0,594537130,87581778,242314326,53653804,99599585,45469633,2019019177,99586757,9026212,22665502,206274440,70988663,864646592,97934442,27802741,93600000,24000000,58950,17479994,1071085490,30362853,24951046,7323394,778244468,41430404,398150000,0,3463120,5580000,2572922822,121822875,25583150,28341216,42419549,48238806,0,0,95000000,0,52126191,117000000,862500,316900000,0,53117244,14557740,8000000,541168864,337057008,151199776,120523031,52860638,1313796664,28391713,72569133,0,0,1109479000
"16","IN","18","2022-2023",6696893,718719,4351809,4081318,3721526,32148260,2181265,0,25967730,1500000,10224342,25220000,0,6224935,0,6822150,41878425,237960588,13185241,133694342,4245267,333333333,44814635,307000,59956692,10802578,0,9682000,114651570,0,0,200000000,100000000,98240569,0,0,0,0,0,17140526,0,0,0,0,0,597859,36205000,85578980,129728660,21609345,1386054,0,0,149085536,60624858,103699490,35958648,66751397,13947690,1397582395,68934807,3520000,15816939,142657253,47811909,572760695,76548532,17867756,0,21172211,50000,6053856,223181571,18544543,24128429,0,60407543,20378781,0,0,353873,0,574015849,58540065,6989191,11709743,14744322,17136936,0,0,0,0,26080336,0,4409801,0,7525014,34295981,11684089,0,88300020,83339697,81118320,2368000,0,387320403,11866978,2531797,0,103260,0
"17","KS","20","2022-2023",2912619,800000,1890695,6364741,3315698,29990848,4214131,61309243,1250000,0,10362060,14111124,0,2039650,63000000,500000,5194000,0,0,51903098,0,0,53585000,0,27018128,46966427,0,3627000,42941850,0,0,0,100000000,0,58000000,103156982,5000000,0,0,6360434,50000000,0,0,0,0,542859,26051000,60092750,77657590,3458985,0,0,0,90000000,24569486,20944972,14261043,26473312,5190544,566399386,27937267,0,13245603,50979365,18806853,234447044,35587691,10934392,0,27453220,340200,2205805,58666654,6724383,16730594,0,519146,11709109,0,0,750000,0,163907396,24098792,1765126,4537346,2970108,7713330,355350,0,0,0,14536259,0,1972171,0,580800,20650163,42514219,0,58376386,62581800,88089867,1000000,0,110826105,14440034,11872952,4459317,2603225,0
"18","KY","21","2022-2023",4461952,90200,0,2534917,3567725,45731708,606197,77534912,14525250,0,47424685,16247950,0,0,1385000000,4498660,22247530,0,0,88035514,0,0,33803020,0,52512243,34590500,0,5114000,60548480,0,2744067,316186575,100000000,8999989,0,0,0,0,6334444,11410325,0,0,0,0,0,2656250,34201000,75822010,98258330,10478863,0,0,27539491,189099780,43430707,30151801,25074182,46546153,6750609,1001206336,49383826,24490000,7923916,105604535,33411643,432816335,44515550,12176401,0,0,822115,2512903,94466366,10945579,30197148,0,3916,13802912,0,7360000,1500000,0,528634551,42608780,4788996,7684503,12289115,11075350,0,0,17331850,0,9451080,125000000,2637354,0,0,19797988,0,4912631,141424998,128252776,54232540,31285000,0,272610713,55016248,2531797,0,0,467492000
"19","LA","22","2022-2023",4664616,909800,0,4946807,2342092,8333333,51366,0,25937338,1400000,15960302,17600000,0,50872254,60000,6372900,0,0,15132576,100975091,0,600000000,354488049,24099667,114970110,78104444,0,4417000,52296850,600000000,134898772,319820610,100000000,68380784,249329483,54828178,0,0,0,3941951,0,0,0,0,0,4872250,33046000,75610700,128722170,14604717,0,5224965,0,438151280,45936660,25193052,26486472,49167838,11456598,1058975953,52233273,0,9049908,111029137,35190868,464206773,40667168,10750574,0,0,85661,3693097,101608795,13013536,17418786,1220737,14835191,16030397,0,0,0,0,877659900,42564514,10470452,8763758,28585058,13416869,0,0,285839624,0,78319261,150000000,5816778,0,27390895,27757793,2737648,10000000,176230002,109654219,109924798,78647718,25000000,196128273,7602200,2531797,0,7239952,129250000
"20","MA","25","2022-2023",6873003,250000,0,157293,1204792,0,2014585,0,22806762,0,61078934,84500000,66602931,61496244,394593500,6240000,54000000,48410033,0,199153339,2462612,0,149532274,0,203607936,108085280,2000000,13643000,161521720,0,0,0,100000000,0,0,0,99500000,0,0,16461851,0,0,0,0,0,597859,51466000,118015500,131716670,63188431,0,10839134,0,487055930,36372875,139585846,22919970,42547207,23953966,838502408,41358565,3702128,5143120,89936062,30369832,359799067,39962622,12358968,0,0,0,9849020,793694360,18080939,5642157,4563345,438639780,25490706,0,20000000,750000,7620000,3215993620,76464506,16194848,17559382,23136223,27312723,0,0,0,0,166167857,0,2846238,0,21275059,24684499,0,33835953,394241860,228118837,75489110,345038495,0,2422198979,52877987,74656749,9130692,2170236,0
"21","MD","24","2022-2023",6037624,2730000,8031061,11245,1398500,34823626,0,0,34359369,115000,17977511,38000000,7109500,0,560000,2291543,25000000,102881441,0,103519039,15000000,0,14125000,0,114798500,15984317,0,9717000,115060540,0,0,0,100000000,0,0,33567016,21500000,0,0,7209636,0,0,0,0,0,3006250,43554000,103117400,106031660,42009871,0,8061250,22251450,176261502,36633670,118181825,22678122,42098254,18478986,844514522,41655109,0,4827699,90933208,30131455,361369787,41258217,11832386,6950226656,1534280,0,8242436,563558317,15943547,10155607,2605811,307860883,29477292,213696341,0,2196119,20000000,1582851105,41905199,13108668,9006972,30801837,16643682,0,0,0,0,56629131,0,1800686,0,0,22385743,15438845,0,192925370,70433983,59000000,14362759,0,722700639,71287358,0,0,0,37507000
"22","ME","23","2022-2023",1340825,1229198,0,607158,986473,11888132,166452,0,0,0,12572145,15203825,0,9387572,0,10072850,7852320,0,0,35591743,15000000,0,13340000,5855000,34095168,3218263,35119271,3111000,36825730,0,0,0,100000000,0,0,0,0,0,10000000,7645670,0,0,0,0,0,5312500,22750000,52801080,70891500,7395080,0,40091474,0,90000000,11622222,22663513,6966201,12931622,4908917,267926612,13215299,0,2548891,27831754,9233925,116224787,11511035,4046887,27492000,0,258251,1551480,34856564,3544031,10576770,0,26311813,9029630,0,0,231623,0,245093383,12342519,3115577,3107891,1470555,6048846,0,0,77100000,185000000,2047407,0,536900,0,0,16728495,30016472,0,37563034,24138218,78610298,22400000,27680000,447358926,2240154,30306795,1000000,7150855,0
"23","MI","26","2022-2023",9973907,1264125,0,3952194,2724394,29559756,8158581,119898150,32949697,3711000,9784356,75512870,0,20630394,0,6544975,30126406,0,0,242560951,8000000,333333333,228794635,1475000,164936920,20385000,0,17276000,204556720,0,0,0,100000000,0,0,100000000,80000000,0,0,39054557,0,0,0,0,0,3594109,54525000,125119320,176574570,24495412,26956308,16628285,0,243266252,65438918,162883690,39733357,73758533,27595216,1508560749,74408740,50890158,16058746,154999467,52681937,629277467,89939063,22638532,0,24388400,0,10427283,265480965,27935753,31725143,1285849,7163350,29209543,0,0,0,13360000,956922880,90229680,5562143,21290235,21992566,27342748,0,0,104657051,0,10699237,0,1316554,29700000,0,42716876,61256706,27081586,153287440,128985221,83669343,36097769,14400000,940278875,99051499,25472843,2999850,22228235,516609000
"24","MN","27","2022-2023",5600166,893411,937475,5955721,2973396,35000000,925039,131916072,33438471,546400,64748949,34244500,0,3485312,269600,2000000,11047642,727838583,0,104900082,0,308333333,99839635,175000,73892152,2623000,0,7386000,87440370,0,0,0,100000000,0,116000000,26214275,22900000,0,7546667,23786659,0,0,45166667,0,0,2951250,34623000,80242850,102377240,19404146,99997799,0,0,130333076,41421807,70928032,24608204,45681139,12184339,954895248,47099563,16296000,13006381,95270780,32626378,398341847,56910915,13836365,0,8504563,920045,5302214,260831510,12431703,23560250,1680535,62781273,20793042,0,0,714351,0,682584336,40187194,8808614,9119723,9311520,15379049,2304270,0,588931100,285000000,33611538,0,0,0,0,46142376,4963359,0,96942620,93751659,151803315,9000000,51309600,565349901,23968438,25000000,52501528,23352021,100000
"25","MO","29","2022-2023",6124160,1675000,1374045,5113355,4574628,20712086,67161,230475582,21000000,2660000,37238690,12026437,0,9375000,0,3011000,5194000,24422099,0,128205187,3610708,0,126840000,0,66928905,12804860,0,11138000,131882110,0,7086862,197338492,100000000,0,58000000,0,0,0,0,15145576,0,0,0,0,0,3254109,39076000,89579800,126206200,25860888,0,0,0,209369932,61543490,51879609,35725959,66319447,13851138,1418759588,69979358,0,12121126,148754384,47518409,609659121,66744099,17323601,0,2000000,250000,5711574,181981934,15004336,26622419,2675183,46240035,17157816,98150000,18160000,1849738,0,595506173,54133596,9916699,11190965,15953830,16814524,0,0,92883609,0,8309635,0,302215,0,10000000,40841383,33752325,8768800,114040795,95494526,99391557,13114420,0,290958180,12321723,59003734,0,0,12790000
"26","MS","28","2022-2023",2981835,1800000,0,10264849,5280858,45833333,226503,73043204,16812500,1674000,18131141,15852358,0,315000,0,5089110,0,0,0,56458331,0,0,78505000,3519000,13487187,111478444,0,3619000,42861150,0,2209856,0,100000000,9000000,0,0,0,0,12668889,4205310,0,0,0,0,0,5662500,25834000,61410320,74121820,8319229,0,0,13480000,90000000,31553150,24692757,18251776,33881462,4531482,727393485,35878192,4800000,7633475,74846881,24293634,310601918,36187841,10256441,0,0,250000,1551480,26547445,6628560,22079884,0,356314,9854177,0,0,0,0,381274742,26358688,3752320,5002877,13275149,7433572,0,0,0,0,16929725,60000000,3508588,0,4851000,27255948,2737648,6123225,59169999,49995055,43876232,10188000,35000000,237554751,2487611,0,0,5661314,37023705
"27","MT","30","2022-2023",1061705,500000,6567750,4898512,2818274,31275854,1144899,93913438,2388401,450000,38582793,28300000,0,6230738,240000,5448199,1375920,0,0,17015134,0,333333333,99306625,0,8444483,0,0,1972000,23355620,0,0,0,100000000,0,0,6214275,0,0,7546667,6040692,22521926,0,219060000,0,3000000,3006250,22750000,52801080,70891500,3564567,0,0,0,90000000,26440646,32766344,15483697,28742972,4790812,609535139,30064909,2937900,4155086,64961118,20650724,270516414,20083581,7492546,14900000,400000,14580532,1551480,15402496,2821617,15092465,0,0,8925602,0,0,0,0,86858644,9062886,1552150,1483106,1512514,6048846,3826537,1369585,34443681,0,53931567,0,1000000,0,0,13455399,11756500,0,10760386,9108313,85755627,98994958,49289622,49000528,16695145,1374536,127678226,53600102,2635000
"28","NC","37","2022-2023",10386227,1200000,3492000,5102795,3016057,25498373,2155785,67045808,9198538,0,49066870,72000000,0,93239723,242000000,4500000,48526246,24403800,0,156176646,5686737,0,369287612,20158750,63722525,12701093,472000,7253000,85860780,0,4938539,149658312,100000000,0,0,0,9900000,0,13881111,11726977,0,0,0,0,0,1140718,67456000,153956460,217012380,27734002,0,1745241,32903513,197385602,66369357,112803961,39358804,73063236,15500540,1530010099,75466715,3668600,14339656,159150734,52387144,649912352,79530301,23515375,1095576000,1220000,3603564,7492271,231277318,24680061,44305211,1696231,8142478,23999905,0,0,0,0,952115604,83618756,9401801,13679475,33132907,29010916,0,0,100000000,0,18889880,110000000,4828811,0,0,40135382,11186163,0,234318368,167399794,125350777,1250000,10400000,337982531,12714017,24313856,500000,5907325,100000
"29","ND","38","2022-2023",760394,800000,0,7145154,3036821,10000000,0,56703824,500000,0,19573504,1830000,0,7764750,0,3000000,7768742,0,350000000,11110002,0,308333333,15992375,0,5116796,11772708,0,1972000,23355620,0,63804610,114846344,100000000,38148520,58000000,6214275,4200000,0,0,5847856,80192239,0,77330000,0,0,147500,22750000,52801080,70891500,330687,0,0,0,90000000,15873437,23154799,9369101,17392217,4474122,365929708,18049236,0,7874679,33618700,12362305,159822694,14636766,6415249,0,30000000,248924,1551480,13952279,1947432,7740977,0,0,9033398,0,0,0,0,97653668,7070125,866521,966723,0,6048846,3569600,0,0,70000000,0,0,1367617,0,0,12508523,19710574,0,9858955,8944676,51694780,0,55000000,25280534,4878595,25000000,9137952,10807054,516212500
"30","NE","31","2022-2023",1923826,500000,304500,5250373,2452949,10752427,27721,3159820,11000000,0,17074883,30850000,0,1402003,440000,0,0,0,0,35159332,0,0,23040000,0,25642676,15224354,0,2055000,24332470,0,0,0,100000000,0,58000000,6214275,0,0,0,6153436,450000,0,0,0,0,3006250,22750000,52801080,70891500,3770567,0,0,0,90000000,18611300,22643451,10907851,20248656,4416646,429045525,21162380,0,7838183,40812002,14429490,181475823,23074530,8947869,0,0,182866,1551480,42730819,3980665,11739034,0,0,10687332,0,0,0,0,177774016,16585128,2291113,3102782,3204626,6143063,6654315,0,21172718,0,0,0,1126672,0,10216662,15822275,18187398,0,37374415,39871854,43355117,0,0,66183985,4065300,6699586,36501376,9668015,0
"31","NH","33","2022-2023",1355244,0,0,458281,650458,0,1966511,0,2522017,250000,5653626,11116190,0,0,0,8353850,7736284,0,0,25273485,0,0,2765000,3800000,21079291,3563263,421600,4016000,47541140,0,0,0,100000000,0,0,0,0,0,0,3888453,0,0,0,0,0,594222,22750000,52801080,70891500,9539133,0,0,0,90000000,10343416,22778166,6235210,11574656,4212643,238446337,11761204,20258400,2450000,24587827,8267758,100656244,13024659,3182084,0,0,0,1551480,39096116,4257966,6143182,0,29475132,10073860,0,0,750000,0,241020053,10998895,703021,2198270,2808804,6048846,0,0,0,0,0,0,540787,0,0,10593696,0,0,28051201,20718783,39534391,0,0,106288254,1170000,0,0,0,0
