"","iija_flag","ira_flag","fy22","fy23","county_level","state_level","competitive","formula","agency_name","bureau_name","program_name","program_short_name","year","total_award_amount"
"1",1,0,0,1,1,1,1,0,"Federal Communications Commission","Federal Communications Commission","Affordable Connectivity (ACP) Outreach Grant Program","acp_outreach","2023",64631073
"2",0,1,0,1,0,1,1,0,"Department of Agriculture","Natural Resources Conservation Service","Agricultural Conservation Easement Program (ACEP)","ag_acep","2023",72723302
"3",0,1,0,1,0,1,1,0,"Department of Agriculture","Natural Resources Conservation Service","Conservation Stewardship Program (CSP)","ag_csp","2023",170963915
"4",0,1,0,1,0,1,1,0,"Department of Agriculture","Natural Resources Conservation Service","Environmental Quality Incentives Program (EQIP)","ag_eqip","2023",147539391
"5",0,1,0,1,1,1,1,0,"Department of Agriculture","Natural Resources Conservation Service","Regional Conservation Partnership Program (RCPP)","ag_rcpp","2023",1076194562
"6",0,1,0,1,1,1,1,0,"Department of Agriculture","Rural Business-Cooperative Service","Rural Energy for America Program (REAP)","ag_reap","2023",145275006
"7",1,0,1,1,1,1,1,0,"Department of Agriculture","Rural Utilities Service","Rural Development Broadband ReConnect Program","ag_reconnect","2022",1671213716
"8",1,0,1,1,1,1,1,0,"Department of Agriculture","Rural Utilities Service","Rural Development Broadband ReConnect Program","ag_reconnect","2023",1713028967
"9",0,1,0,1,1,1,1,0,"Department of Agriculture","Forest Service","Urban and community forestry grants","ag_urban_forest","2023",978381215
"10",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Aviation Administration","Contract Tower Competitive Grant Program","airport_infrastructure_comp","2022",20000000
"11",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Aviation Administration","Contract Tower Competitive Grant Program","airport_infrastructure_comp","2023",20000000
"12",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Aviation Administration","Airport Infrastructure Formula Grants","airport_infrastructure_formula","2022",328596090
"13",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Aviation Administration","Airport Infrastructure Formula Grants","airport_infrastructure_formula","2023",1724995760
"14",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Aviation Administration","Airport Terminals Program","airport_terminal","2022",968625660
"15",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Aviation Administration","Airport Terminals Program","airport_terminal","2023",967431393
"16",1,0,1,0,1,1,1,0,"Department of Transportation","Federal Transit Administration","All Stations Accessibility Program (ASAP)","asap","2022",686000000
"17",1,0,1,0,1,1,1,0,"Department of Homeland Security","Federal Emergency Management Agency","Building Resilient Infrastructure and Communities (BRIC) Program","bric","2022",1812435011
"18",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Highway Administration","Bridge Investment Program","bridge","2022",2107150000
"19",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Highway Administration","Bridge Investment Program","bridge","2023",4353000000
"20",1,0,1,1,1,1,1,0,"Environmental Protection Agency","State and Tribal Assistance Grants","Brownfields Program","brownfield","2022",72302036
"21",1,0,1,1,1,1,1,0,"Environmental Protection Agency","State and Tribal Assistance Grants","Brownfields Program","brownfield","2023",162686278
"22",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Transit Administration","Grants for Buses and Bus Facilities Program","buses","2022",551366311
"23",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Transit Administration","Grants for Buses and Bus Facilities Program","buses","2023",472922707
"24",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Transit Administration","Capital Investment Grants Program (New Starts/Small Starts)","capital_investment","2022",3688699326
"25",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Transit Administration","Capital Investment Grants Program (New Starts/Small Starts)","capital_investment","2023",3781173052
"26",1,0,1,1,1,1,1,0,"Department of Energy","Office of Clean Energy Demonstrations","Carbon Capture Demonstration Projects Program","carbon_capture_dem","2022",40618893
"27",1,0,1,1,1,1,1,0,"Department of Energy","Office of Clean Energy Demonstrations","Carbon Capture Demonstration Projects Program","carbon_capture_dem","2023",890000000
"28",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Community Development Block Grant (CDBG) Program","cdbg_entitlement","2022",3300209712.1195
"29",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Community Development Block Grant (CDBG) Program","cdbg_entitlement","2023",3298210227.2759
"30",1,0,0,1,1,1,1,0,"Department of Transportation","Federal Highway Administration","Charging and Fueling Infrastructure Grant Program","charge_fuel_infra","2023",622573845
"31",1,0,0,1,1,1,1,0,"Department of Energy","Office of Clean Energy Demonstrations","Regional Clean Hydrogen Hubs (H2Hubs) Program","clean_hydrogen","2023",7000000000
"32",1,0,1,1,1,1,1,0,"Environmental Protection Agency","State and Tribal Assistance Grants","Clean School Bus Program","clean_school_bus","2022",947405000
"33",1,0,1,1,1,1,1,0,"Environmental Protection Agency","State and Tribal Assistance Grants","Clean School Bus Program","clean_school_bus","2023",5740689572
"34",1,1,0,1,1,1,1,0,"Department of Commerce","National Oceanic and Atmospheric Administration","Climate-Ready Coasts","climate_coasts","2023",423572667
"35",0,0,1,1,1,1,1,0,"Department of Housing and Urban Development",NA,"Continuum of Care (COC) Program","coc","2022",1930031706.3179
"36",0,0,1,1,1,1,1,0,"Department of Housing and Urban Development",NA,"Continuum of Care (COC) Program","coc","2023",3155636244.76456
"37",1,0,1,0,1,1,1,0,"Department of Transportation","Federal Railroad Administration","Consolidated Rail Infrastructure and Safety Improvements (CRISI) Program","crisi","2022",1442567411
"38",1,0,1,0,1,1,1,0,"Department of Transportation","Office of the Secretary","National Culvert Removal, Replacement and Restoration Grants","culvert_restore","2022",195696998
"39",1,0,1,1,0,1,0,1,"Environmental Protection Agency","State and Tribal Assistance Grants","Clean Water State Revolving Fund supplemental appropriation for emerging contaminants","cwsrf_emerging_combined","2022",183729000
"40",1,0,1,1,0,1,0,1,"Environmental Protection Agency","State and Tribal Assistance Grants","Clean Water State Revolving Fund supplemental appropriation for emerging contaminants","cwsrf_emerging_combined","2023",211568000
"41",1,0,1,1,0,1,0,1,"Environmental Protection Agency","State and Tribal Assistance Grants","Clean Water State Revolving Fund","cwsrf_general_combined","2022",2607807580
"42",1,0,1,1,0,1,0,1,"Environmental Protection Agency","State and Tribal Assistance Grants","Clean Water State Revolving Fund","cwsrf_general_combined","2023",2073844000
"43",1,0,0,1,1,1,1,0,"Department of Energy","Fossil Energy and Carbon Management","Regional Direct Air Capture (DAC) Hubs Program","dac_hubs","2023",600000000
"44",1,0,1,0,1,1,1,0,"Department of Homeland Security","Federal Emergency Management Agency","Flood Mitigation Assistance (FMA) Grant Program","dhs_flood","2022",636006597
"45",1,0,1,0,1,1,1,0,"Department of Energy","Energy Efficiency and Renewable Energy","Battery Materials Processing and Battery Manufacturing and Recycling Program","doe_battery","2022",2667494099
"46",1,0,1,0,0,1,0,1,"Department of Commerce","National Telecommunications and Information Administration","Broadband Equity, Access, and Deployment Program","doe_bead_initial","2022",5200000000
"47",1,0,1,0,0,1,0,1,"Department of Commerce","National Telecommunications and Information Administration","Broadband Equity, Access, and Deployment Program","doe_bead_initial","2023",0
"48",1,0,1,1,1,1,1,0,"Department of Energy","Fossil Energy and Carbon Management","Carbon Storage Validation and Testing Program","doe_carbon_storage","2022",242287618
"49",1,0,1,1,1,1,1,0,"Department of Energy","Fossil Energy and Carbon Management","Carbon Storage Validation and Testing Program","doe_carbon_storage","2023",444445815
"50",1,0,0,1,1,1,1,0,"Department of Energy","Office of Clean Energy Demonstrations","Grid Innovation Program","doe_grid_innovation","2023",3298396327
"51",1,0,0,1,1,1,1,0,"Department of Energy","Electricity","Grid Resilience Utility and Industry Grants","doe_grid_resilience","2023",919970043
"52",1,0,0,1,1,1,1,0,"Department of Energy","Energy Efficiency and Renewable Energy","Clean hydrogen electrolysis, manufacturing, and recycling activities","doe_hydrogen_electro","2023",751400000
"53",1,0,1,0,0,1,1,0,"Department of Energy","Nuclear Energy","Civil Nuclear Credit Program","doe_nuclear","2022",1100000000
"54",1,0,0,1,1,1,1,0,"Department of Energy","Office of Clean Energy Demonstrations","Energy Improvements in Rural or Remote Areas (ERA) Program","doe_rural_energy","2023",365930000
"55",1,0,1,1,0,1,0,1,"Department of Energy","Energy Efficiency and Renewable Energy","Weatherization Assistance Program","doe_weatherization","2022",281018263
"56",1,0,1,1,0,1,0,1,"Department of Energy","Energy Efficiency and Renewable Energy","Weatherization Assistance Program","doe_weatherization","2023",298024696
"57",1,0,1,1,1,1,1,0,"Department of the Interior","Bureau of Reclamation","Aging Infrastructure Account","doi_aging_infra","2022",596116647
"58",1,0,1,1,1,1,1,0,"Department of the Interior","Bureau of Reclamation","Aging Infrastructure Account","doi_aging_infra","2023",585510239
"59",0,1,0,1,1,1,1,0,"Department of the Interior","Bureau of Reclamation","Drought mitigation funding opportunities","doi_drought","2022",250000000
"60",0,1,0,1,1,1,1,0,"Department of the Interior","Bureau of Reclamation","Drought mitigation funding opportunities","doi_drought","2023",711834513
"61",1,0,1,0,1,1,1,0,"Department of the Interior","Bureau of Reclamation","Rural water projects","doi_rural_water","2022",388000000
"62",1,0,1,0,1,1,1,0,"Department of the Interior","Bureau of Reclamation","Rural water projects","doi_rural_water","2023",278000000
"63",1,0,1,1,1,1,1,0,"Department of the Interior","Bureau of Reclamation","Water recycling and desalination projects","doi_water_recycle","2022",309590062
"64",1,0,1,1,1,1,1,0,"Department of the Interior","Bureau of Reclamation","Water recycling and desalination projects","doi_water_recycle","2023",28974564
"65",1,0,1,1,1,1,1,0,"Department of the Interior","Bureau of Reclamation","Water Storage, Groundwater Storage, and Conveyance projects","doi_water_storage","2022",210000000
"66",1,0,1,1,1,1,1,0,"Department of the Interior","Bureau of Reclamation","Water Storage, Groundwater Storage, and Conveyance projects","doi_water_storage","2023",152000000
"67",0,0,1,1,1,1,1,0,"Department of Transportation",NA,"US Department of Transportation Thriving Communities Program","dot_tc","2022",21150000
"68",0,0,1,1,1,1,1,0,"Department of Transportation",NA,"US Department of Transportation Thriving Communities Program","dot_tc","2023",100107402
"69",1,0,1,1,0,1,0,1,"Environmental Protection Agency","State and Tribal Assistance Grants","Drinking Water State Revolving Fund emerging contaminants","dwsrf_emerging_combined","2022",1480779000
"70",1,0,1,1,0,1,0,1,"Environmental Protection Agency","State and Tribal Assistance Grants","Drinking Water State Revolving Fund emerging contaminants","dwsrf_emerging_combined","2023",752540000
"71",1,0,1,1,0,1,0,1,"Environmental Protection Agency","State and Tribal Assistance Grants","Drinking Water State Revolving Fund","dwsrf_general_combined","2022",2631842380
"72",1,0,1,1,0,1,0,1,"Environmental Protection Agency","State and Tribal Assistance Grants","Drinking Water State Revolving Fund","dwsrf_general_combined","2023",2560259000
"73",1,0,1,1,0,1,0,1,"Environmental Protection Agency","State and Tribal Assistance Grants","Drinking Water State Revolving Fund for lead service line replacement","dwsrf_lead_combined","2022",4146896250
"74",1,0,1,1,0,1,0,1,"Environmental Protection Agency","State and Tribal Assistance Grants","Drinking Water State Revolving Fund for lead service line replacement","dwsrf_lead_combined","2023",2822025000
"75",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Supportive Housing for the Elderly (Section 202)","elderly","2022",707234049.1089
"76",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Supportive Housing for the Elderly (Section 202)","elderly","2023",785457270.6598
"77",1,0,1,1,1,1,1,0,"Environmental Protection Agency","Environmental Programs and Management","Great Lakes Restoration Initiative","epa_great_lakes","2022",158262568
"78",1,0,1,1,1,1,1,0,"Environmental Protection Agency","Environmental Programs and Management","Great Lakes Restoration Initiative","epa_great_lakes","2023",40529764
"79",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Transit Administration","Federal Transit Administration Ferry Programs","ferry_rural_comms","2022",384354926
"80",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Transit Administration","Federal Transit Administration Ferry Programs","ferry_rural_comms","2023",220189473
"81",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","Appalachian Development Highway System","fhwa_app","2022",246250000
"82",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","Appalachian Development Highway System","fhwa_app","2023",246250000
"83",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","Bridge Formula Program","fhwa_bridge","2022",5307500000
"84",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","Bridge Formula Program","fhwa_bridge","2023",5307500000
"85",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Highway Administration","Carbon Reduction Program (CRP)","fhwa_carbon","2022",1233656943.02492
"86",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Highway Administration","Carbon Reduction Program (CRP)","fhwa_carbon","2023",1258330081.07238
"87",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","Congestion Mitigation and Air Quality Improvement (CMAQ) Program","fhwa_cmaq","2022",2536490803
"88",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","Congestion Mitigation and Air Quality Improvement (CMAQ) Program","fhwa_cmaq","2023",2587220620
"89",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","National Electric Vehicle Infrastructure Formula Program","fhwa_ev","2022",615000000
"90",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","National Electric Vehicle Infrastructure Formula Program","fhwa_ev","2023",885000000
