"","iija_flag","ira_flag","fy22","fy23","county_level","state_level","competitive","formula","agency_name","bureau_name","program_name","program_short_name","year","total_award_amount"
"91",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","National Highway Freight Program","fhwa_highway_freight","2022",1373932519
"92",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","National Highway Freight Program","fhwa_highway_freight","2023",1401411169
"93",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","Metropolitan Planning Program","fhwa_metro_plan","2022",438121139
"94",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","Metropolitan Planning Program","fhwa_metro_plan","2023",446883562
"95",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","National Highway Performance Program (NHPP)","fhwa_nhpp","2022",28612452345
"96",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","National Highway Performance Program (NHPP)","fhwa_nhpp","2023",29185191188
"97",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT)—Formula Program","fhwa_protect","2022",1402756277
"98",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT)—Formula Program","fhwa_protect","2023",1430811405
"99",1,0,0,1,1,1,1,0,"Department of Transportation","Federal Highway Administration","Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) Program","fhwa_protect_comp","2023",829619001
"100",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","Railway-Highway Crossing Program","fhwa_railway","2022",245000000
"101",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","Railway-Highway Crossing Program","fhwa_railway","2023",245000000
"102",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","Highway Safety Improvement Program","fhwa_safety","2022",2979761019
"103",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","Highway Safety Improvement Program","fhwa_safety","2023",3044326241
"104",0,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","State Planning and Research Program Subpart B (SPR-B)","fhwa_spr","2022",983300622
"105",0,0,1,1,0,1,0,1,"Department of Transportation","Federal Highway Administration","State Planning and Research Program Subpart B (SPR-B)","fhwa_spr","2023",1003066033
"106",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Highway Administration","Surface Transportation Block Grant (STBG) Program","fhwa_stp","2022",12145575340.4533
"107",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Highway Administration","Surface Transportation Block Grant (STBG) Program","fhwa_stp","2023",12388486845.3413
"108",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Highway Administration","Transportation Alternatives Program (TAP)","fhwa_tap","2022",1383540483.53838
"109",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Highway Administration","Transportation Alternatives Program (TAP)","fhwa_tap","2023",1411211293.4429
"110",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Motor Carrier Safety Administration","Motor Carrier Safety Assistance Program","fmcsa_21","2022",291992179
"111",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Motor Carrier Safety Administration","Motor Carrier Safety Assistance Program","fmcsa_21","2023",467565783
"112",1,0,1,0,1,1,1,0,"Department of Transportation","Federal Railroad Administration","Federal-State Partnership for Intercity Passenger Rail (FSP) Grant Program","fra_intercity_rail","2022",24497322288
"113",1,0,1,0,1,1,1,0,"Department of Transportation","Federal Railroad Administration","Railroad Crossing Elimination Grant Program","fra_rail_cross","2022",570982420
"114",1,0,1,1,1,1,1,0,"Department of Agriculture","Forest Service","Community Wildfire Defense Grant (CWDG) Program","fs_wildfire","2022",175707143
"115",1,0,1,1,1,1,1,0,"Department of Agriculture","Forest Service","Community Wildfire Defense Grant (CWDG) Program","fs_wildfire","2023",249691910
"116",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Transit Administration","Federal Transit Administration Metropolitan, Statewide, and Non-Metropolitan Planning","fta_5305_combined","2022",184197672
"117",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Transit Administration","Federal Transit Administration Metropolitan, Statewide, and Non-Metropolitan Planning","fta_5305_combined","2023",187564320
"118",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Transit Administration","Federal Transit Administration Urbanized Area Formula Grants Program","fta_5307_5340","2022",6918811684.63124
"119",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Transit Administration","Federal Transit Administration Urbanized Area Formula Grants Program","fta_5307_5340","2023",9882661784.2672
"120",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Transit Administration","Enhanced Mobility of Seniors and Individuals with Disabilities Program","fta_5310","2022",421723155.242612
"121",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Transit Administration","Enhanced Mobility of Seniors and Individuals with Disabilities Program","fta_5310","2023",427686418.369944
"122",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Transit Administration","Federal Transit Administration Formula Grants for Rural Areas Program, Growing State Apportionments, Growing States and High-Density States Program (combined)","fta_5311_combined","2022",41145446
"123",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Transit Administration","Federal Transit Administration Formula Grants for Rural Areas Program, Growing State Apportionments, Growing States and High-Density States Program (combined)","fta_5311_combined","2023",954482472
"124",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Transit Administration","State Safety Oversight Program","fta_5329_e","2022",49011483
"125",1,0,1,1,0,1,0,1,"Department of Transportation","Federal Transit Administration","State Safety Oversight Program","fta_5329_e","2023",50416539
"126",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Transit Administration","Federal Transit Administration State of Good Repair Grants Program","fta_5337_combined","2022",4111504865.1299
"127",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Transit Administration","Federal Transit Administration State of Good Repair Grants Program","fta_5337_combined","2023",4183253511.10642
"128",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Transit Administration","Grants for Buses and Bus Facilities Formula Program","fta_5339","2022",597095160.954424
"129",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Transit Administration","Grants for Buses and Bus Facilities Formula Program","fta_5339","2023",609048125.522987
"130",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Transit Administration","Rail Vehicle Replacement Program grants","fta_rail_vehicle","2022",703100000
"131",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Transit Administration","Rail Vehicle Replacement Program grants","fta_rail_vehicle","2023",630856341
"132",0,1,0,1,1,1,1,0,"Department of Housing and Urban Development","Office of Housing, Multifamily Housing, Office of Recapitalization","Green and Resilient Retrofit Program (GRRP)—Comprehensive cohort","grrp_comp","2023",163280000
"133",0,1,0,1,1,1,1,0,"Department of Housing and Urban Development","Office of Housing, Multifamily Housing, Office of Recapitalization","Green and Resilient Retrofit Program (GRRP)—Elements cohort","grrp_elements","2023",25430932
"134",0,1,0,1,1,1,1,0,"Department of Housing and Urban Development","Office of Housing, Multifamily Housing, Office of Recapitalization","Green and Resilient Retrofit Program (GRRP)—Leading Edge cohort","grrp_leading","2023",103420000
"135",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Housing Choice Voucher (Section 8)","hcv","2022",26782579961.3119
"136",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Housing Choice Voucher (Section 8)","hcv","2023",29646986606.9678
"137",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"HOME Investment Partnerships Program","home","2022",1500663791
"138",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"HOME Investment Partnerships Program","home","2023",1497002300
"139",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Supportive Housing for Persons with Disabilities","hud_disability","2022",191291950.0549
"140",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Supportive Housing for Persons with Disabilities","hud_disability","2023",205539417.1075
"141",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Emergency Solutions Grants Program","hud_esg","2022",289420000
"142",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Emergency Solutions Grants Program","hud_esg","2023",289420000
"143",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Housing Opportunities for Persons With AIDS (HOPWA) Program","hud_hopwa","2022",423383091.984
"144",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Housing Opportunities for Persons With AIDS (HOPWA) Program","hud_hopwa","2023",735700960.999
"145",0,0,1,1,0,1,0,1,"Department of Housing and Urban Development",NA,"Housing Trust Fund (HTF)","hud_htf","2022",747928396.7
"146",0,0,1,1,0,1,0,1,"Department of Housing and Urban Development",NA,"Housing Trust Fund (HTF)","hud_htf","2023",381975359.82
"147",1,0,0,1,1,1,1,0,"Department of Health and Human Services","Indian Health Service","Indian Health Service (IHS) Sanitation Facilities Construction Program","indian_health","2023",612549446
"148",1,0,1,0,1,1,1,0,"Department of the Interior","Bureau of Indian Affairs","Indian water rights settlements","indian_water","2022",2076202
"149",1,0,1,1,1,1,1,0,"Department of Transportation","Office of the Secretary","Nationally Significant Freight and Highway Projects Program (INFRA)","infra","2022",1515600000
"150",1,0,1,1,1,1,1,0,"Department of Transportation","Office of the Secretary","Nationally Significant Freight and Highway Projects Program (INFRA)","infra","2023",2918200000
"151",1,0,0,1,1,1,1,0,"General Services Administration","Real Property Activities","Land ports of entry projects","land_port","2023",2817500000
"152",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Transit Administration","Low or No Emission Vehicle Program","low_no_emission","2022",1105329750
"153",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Transit Administration","Low or No Emission Vehicle Program","low_no_emission","2023",1216941397
"154",1,0,0,1,1,1,1,0,"Department of Transportation","Office of the Secretary","National Infrastructure Project Assistance Program (Mega Program)","mega","2023",1172171053
"155",1,0,0,1,1,1,1,0,"Department of Transportation","Federal Motor Carrier Safety Administration","Federal Motor Carrier Safety Administration (FMCSA) discretionary grants","motor_carrier_safety","2023",131267150
"156",0,1,0,1,1,1,1,0,"Department of Energy","Office of Science","National Laboratory infrastructure grants","national_lab","2023",1534500000
"157",1,0,1,0,1,1,1,0,"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Natural Gas Distribution Infrastructure Safety and Modernization Grant Program","natural_gas","2022",195460230
"158",1,0,1,1,0,1,0,1,"Department of Transportation","National Highway Traffic Safety Administration","Highway Safety Programs","nhtsa","2022",856700312.02
"159",1,0,1,1,0,1,0,1,"Department of Transportation","National Highway Traffic Safety Administration","Highway Safety Programs","nhtsa","2023",873931996.28
"160",1,0,1,0,1,1,1,0,"Department of Commerce","National Telecommunications and Information Administration","Enabling Middle Mile Grant Program","ntia_middle_mile","2022",930021354
"161",1,0,1,0,1,1,1,0,"Department of Transportation","Maritime Administration","Port Infrastructure Development Program grants","ports","2022",703123800
"162",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Public Housing Operating Fund","public_hsg","2022",4971620649.7348
"163",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Public Housing Operating Fund","public_hsg","2023",5099087071.2856
"164",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Public Housing Capital Fund ","public_hsg_cap","2022",3160264019.716
"165",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Public Housing Capital Fund ","public_hsg_cap","2023",3405732998.8939
"166",1,0,1,1,1,1,1,0,"Department of Transportation","Office of the Secretary","Better Utilizing Investments to Leverage Development (BUILD) Grant Program (formerly RAISE)","raise","2022",2245000000
"167",1,0,1,1,1,1,1,0,"Department of Transportation","Office of the Secretary","Better Utilizing Investments to Leverage Development (BUILD) Grant Program (formerly RAISE)","raise","2023",2259907467
"168",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Highway Administration","Reconnecting Communities and Neighborhoods (RCN) Program","reconnect_community","2022",185235000
"169",1,0,1,1,1,1,1,0,"Department of Transportation","Federal Highway Administration","Reconnecting Communities and Neighborhoods (RCN) Program","reconnect_community","2023",3331730541
"170",1,0,1,1,1,1,1,0,"Department of Transportation","Office of the Secretary","Rural Surface Transportation Grant Program","rural_surface","2022",273900000
"171",1,0,1,1,1,1,1,0,"Department of Transportation","Office of the Secretary","Rural Surface Transportation Grant Program","rural_surface","2023",645300000
"172",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Section 8 Housing Assistance Payments (project based) ","s8_project","2022",13479751373.5138
"173",0,0,1,1,1,1,0,1,"Department of Housing and Urban Development",NA,"Section 8 Housing Assistance Payments (project based) ","s8_project","2023",14601704219.3551
"174",1,0,1,1,1,1,1,0,"Department of Transportation","Office of the Secretary","Safe Streets and Roads for All (SS4A) Grant Program","safe_streets","2022",802238993
"175",1,0,1,1,1,1,1,0,"Department of Transportation","Office of the Secretary","Safe Streets and Roads for All (SS4A) Grant Program","safe_streets","2023",895717979
"176",1,0,0,1,1,1,1,0,"Department of Energy","Electricity","Smart Grid Grants","smart_grid","2023",1106770878
"177",1,0,1,1,1,1,1,0,"Department of Commerce","National Telecommunications and Information Administration","Tribal Broadband Connectivity Program","tribal_broadband","2022",1027526147
"178",1,0,1,1,1,1,1,0,"Department of Commerce","National Telecommunications and Information Administration","Tribal Broadband Connectivity Program","tribal_broadband","2023",131860061
"179",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Highway Administration","Tribal Transportation Program","ttp","2022",460779267.255022
"180",1,0,1,1,1,1,0,1,"Department of Transportation","Federal Highway Administration","Tribal Transportation Program","ttp","2023",452118985.209962
"181",1,0,1,0,0,1,0,1,"Department of Defense – Army Corps of Engineers","Corps of Engineers – Civil Works","US Army Corps of Engineers IIJA Construction Projects","usace","2022",7289574736
