"","bucket","level","acp_outreach_per_1k_median","ag_rcpp_per_1k_median","ag_reap_per_1k_median","ag_reconnect_per_1k_median","ag_urban_forest_per_1k_median","airport_infrastructure_comp_per_1k_median","airport_infrastructure_formula_per_1k_median","airport_terminal_per_1k_median","asap_per_1k_median","bric_per_1k_median","bridge_per_1k_median","brownfield_per_1k_median","buses_per_1k_median","capital_investment_per_1k_median","carbon_capture_dem_per_1k_median","cdbg_entitlement_per_1k_median","charge_fuel_infra_per_1k_median","clean_hydrogen_per_1k_median","clean_school_bus_per_1k_median","climate_coasts_per_1k_median","coc_per_1k_median","crisi_per_1k_median","culvert_restore_per_1k_median","dac_hubs_per_1k_median","dhs_flood_per_1k_median","doe_battery_per_1k_median","doe_carbon_storage_per_1k_median","doe_grid_innovation_per_1k_median","doe_grid_resilience_per_1k_median","doe_hydrogen_electro_per_1k_median","doe_rural_energy_per_1k_median","doi_aging_infra_per_1k_median","doi_drought_per_1k_median","doi_rural_water_per_1k_median","doi_water_recycle_per_1k_median","doi_water_storage_per_1k_median","dot_tc_per_1k_median","elderly_per_1k_median","epa_great_lakes_per_1k_median","ferry_rural_comms_per_1k_median","fhwa_carbon_per_1k_median","fhwa_protect_comp_per_1k_median","fhwa_stp_per_1k_median","fhwa_tap_per_1k_median","fra_intercity_rail_per_1k_median","fra_rail_cross_per_1k_median","fs_wildfire_per_1k_median","fta_5307_5340_per_1k_median","fta_5310_per_1k_median","fta_5337_combined_per_1k_median","fta_5339_per_1k_median","fta_rail_vehicle_per_1k_median","grrp_comp_per_1k_median","grrp_elements_per_1k_median","grrp_leading_per_1k_median","hcv_per_1k_median","home_per_1k_median","hud_disability_per_1k_median","hud_esg_per_1k_median","hud_hopwa_per_1k_median","indian_health_per_1k_median","indian_water_per_1k_median","infra_per_1k_median","land_port_per_1k_median","low_no_emission_per_1k_median","mega_per_1k_median","motor_carrier_safety_per_1k_median","national_lab_per_1k_median","natural_gas_per_1k_median","ntia_middle_mile_per_1k_median","ports_per_1k_median","public_hsg_per_1k_median","public_hsg_cap_per_1k_median","raise_per_1k_median","reconnect_community_per_1k_median","rural_surface_per_1k_median","s8_project_per_1k_median","safe_streets_per_1k_median","smart_grid_per_1k_median","tribal_broadband_per_1k_median","ttp_per_1k_median","acp_outreach_per_1k_funded_median","ag_rcpp_per_1k_funded_median","ag_reap_per_1k_funded_median","ag_reconnect_per_1k_funded_median","ag_urban_forest_per_1k_funded_median","airport_infrastructure_comp_per_1k_funded_median","airport_infrastructure_formula_per_1k_funded_median","airport_terminal_per_1k_funded_median","asap_per_1k_funded_median","bric_per_1k_funded_median","bridge_per_1k_funded_median","brownfield_per_1k_funded_median","buses_per_1k_funded_median","capital_investment_per_1k_funded_median","carbon_capture_dem_per_1k_funded_median","cdbg_entitlement_per_1k_funded_median","charge_fuel_infra_per_1k_funded_median","clean_hydrogen_per_1k_funded_median","clean_school_bus_per_1k_funded_median","climate_coasts_per_1k_funded_median","coc_per_1k_funded_median","crisi_per_1k_funded_median","culvert_restore_per_1k_funded_median","dac_hubs_per_1k_funded_median","dhs_flood_per_1k_funded_median","doe_battery_per_1k_funded_median","doe_carbon_storage_per_1k_funded_median","doe_grid_innovation_per_1k_funded_median","doe_grid_resilience_per_1k_funded_median","doe_hydrogen_electro_per_1k_funded_median","doe_rural_energy_per_1k_funded_median","doi_aging_infra_per_1k_funded_median","doi_drought_per_1k_funded_median","doi_rural_water_per_1k_funded_median","doi_water_recycle_per_1k_funded_median","doi_water_storage_per_1k_funded_median","dot_tc_per_1k_funded_median","elderly_per_1k_funded_median","epa_great_lakes_per_1k_funded_median","ferry_rural_comms_per_1k_funded_median","fhwa_carbon_per_1k_funded_median","fhwa_protect_comp_per_1k_funded_median","fhwa_stp_per_1k_funded_median","fhwa_tap_per_1k_funded_median","fra_intercity_rail_per_1k_funded_median","fra_rail_cross_per_1k_funded_median","fs_wildfire_per_1k_funded_median","fta_5307_5340_per_1k_funded_median","fta_5310_per_1k_funded_median","fta_5337_combined_per_1k_funded_median","fta_5339_per_1k_funded_median","fta_rail_vehicle_per_1k_funded_median","grrp_comp_per_1k_funded_median","grrp_elements_per_1k_funded_median","grrp_leading_per_1k_funded_median","hcv_per_1k_funded_median","home_per_1k_funded_median","hud_disability_per_1k_funded_median","hud_esg_per_1k_funded_median","hud_hopwa_per_1k_funded_median","indian_health_per_1k_funded_median","indian_water_per_1k_funded_median","infra_per_1k_funded_median","land_port_per_1k_funded_median","low_no_emission_per_1k_funded_median","mega_per_1k_funded_median","motor_carrier_safety_per_1k_funded_median","national_lab_per_1k_funded_median","natural_gas_per_1k_funded_median","ntia_middle_mile_per_1k_funded_median","ports_per_1k_funded_median","public_hsg_per_1k_funded_median","public_hsg_cap_per_1k_funded_median","raise_per_1k_funded_median","reconnect_community_per_1k_funded_median","rural_surface_per_1k_funded_median","s8_project_per_1k_funded_median","safe_streets_per_1k_funded_median","smart_grid_per_1k_funded_median","tribal_broadband_per_1k_funded_median","ttp_per_1k_funded_median"
"1","percent_poc_bucket",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47158.7360862425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12946.1464681542,10887.6050266123,0,0,0,47372.8639216689,0,0,0,0,2829.32971205569,38204.6452406041,1635.26646763641,84094.230908246,17086.1311873153,8559.26219159908,4011.90661236671,54696.2172096178,NA,226574.500678689,NA,9736.15032616104,51763.5270541082,NA,109606.844924482,12558.921370436,NA,1631537.17259018,23709.5160793637,NA,9126.10254974592,34867.1881725058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4096.80191939991,4399.54429555688,NA,NA,2294.74738951587,181597.038603913,22477.1332526101,2076.79700015961,NA,20422.8541551122,1678.56974258334,20588.6318540772,1220.14456493586,82.7149125182818,936.612644535373,NA,NA,15340.4282989423,NA,76788.5148712158,6311.12290297563,2525.59914428609,814.02076883062,14680.0046109398,NA,NA,145703.040669578,NA,34601.8138521559,NA,2431.7617866005,NA,519.59477472674,37352.2378343189,NA,26965.5908126073,26046.5301092914,118741.145586442,NA,997779.65361231,48457.5069128463,1220.01968707464,40850.4930116791,NA,17194.6350824266
"2","percent_poc_bucket",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484.76178378812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46103.1100386754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19509.3221235313,20379.3333953725,0,0,0,35349.4376177235,0,0,0,0,2575.32835436518,43030.6745579947,1375.53969262475,75191.2129260735,15432.9838568621,5089.52896887022,6504.90007275217,22081.6548693084,NA,17503.8727312731,376529.418797718,9661.27567484011,19101.4250866607,NA,222420.926886216,16968.2400211563,NA,789094.290369637,16904.1811101126,1209.92062943348,4477.79929820828,79947.5255557358,NA,NA,NA,NA,197185.1298434,NA,NA,NA,NA,18568.2631246673,NA,17284.5310361039,NA,NA,2476.3925610743,3244.70718994328,193095.763640132,NA,2502.83976359572,857.14,4910.95089558924,578.013107223624,51261.0150024053,31667.1944131452,3711.18898267304,27067.8083686961,327.276535192323,280.044981042618,264.200568521609,NA,NA,4970.11305350492,NA,66588.0508683552,5087.58573508516,1710.26419429649,1608.13958125457,5417.1974195681,1744.00226773047,NA,1970003.77436608,311254.980079681,8711.48600693511,NA,43181.4654944132,NA,611.621048557994,30452.84735859,73677.24,23968.6515639348,23037.1508533172,98250.8798933344,6222.43117299741,218037.737542751,37566.3789287295,1941.63360150821,14970.9421649973,47529.0281986888,7233.72873072993
"3","percent_poc_bucket",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.212348590417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39654.8136726463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11346.6749127382,12626.4536810753,0,0,0,38224.9670949487,285.957287928608,0,0,0,2442.91716882186,52738.7645084988,1362.98127498422,46712.7615921215,6033.06727480046,3726.12948299953,10754.264148178,11637.4140983419,NA,20079.3751084286,1848169.83208824,3293.03778287797,3285.14650356599,1303676.4619211,2721850.2360233,7534.55862525433,18156.3600270012,590766.811408638,15947.3535467722,215004.112494769,3713.64580174043,38712.0124709588,12508.5256085193,NA,257872.538363546,1862757.79535037,NA,12719.7192970604,112765.854628811,98708.2099480709,54329.4334044447,52151.5105685036,5963.48287032492,NA,NA,NA,5577.44704439704,3343.52415860965,NA,36657.0657801515,3020.96687747883,37747.7936999616,22661.898554397,2749.4537337506,NA,131128.848346636,4763.70150561411,24690.2959347835,1303.11741445621,8654.3889423729,1074.44322085104,NA,147061.781389612,NA,206338.72565203,55043.4559520051,5284.76087873771,1564.28486787534,1295.84836832507,14822.1107390102,4530.7303849954,22.1063640973631,219166.756325626,841812.125734879,21480.8155402151,2997438.55250967,NA,NA,33738.7418201531,33668.9161229933,NA,20931.4749616725,21685.1210259849,91598.108560723,37342.2309464425,105433.990593742,39111.5365590019,1636.95838671986,5272.45135691014,4269.70897663615,3399.52239808072
"4","percent_poc_bucket",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2091.74358372265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.052279502135,0,0,868.241848906547,0,0,0,0,0,0,7180.58299434566,0,0,0,0,0,0,0,48935.2620246065,0,564.420703830277,0,0,0,0,0,0,0,0,0,0,0,0,0,11431.9978086743,10763.1920890651,0,0,0,37642.5827216508,490.380005105308,0,0,0,2229.02242495267,34532.4540790617,1709.92704237106,124469.580595891,4894.02236923217,4809.41302791696,6699.67594300654,29109.2970936446,12217.9597986102,55069.6281387442,12017.5934040672,3636.43957646956,19532.1408856101,132477.157776264,NA,10277.4124111029,20178.9921443979,919161.608276606,28206.8381169189,29992.3495915965,5015.64775768138,15795.6164053924,44192.8355830587,NA,65888.7040874163,NA,NA,140368.687900893,101697.655805076,21975.9400232106,134290.15485333,531226.227705008,20114.0104218044,68812.8409454475,9748.31508945913,138013.036923796,3157.48574048398,4317.21339609689,NA,NA,3091.99959735147,21977.5834041276,21066.3653807491,2271.43235198858,NA,295197.142491661,4048.73567917828,27702.1455315575,1749.81050278807,8480.73825260953,1490.10711143675,114694.030749468,NA,NA,2151.04926031869,70897.2371508591,6486.49224649916,1471.08722928373,1260.78208490338,3039.2369131201,21816.2652526733,NA,218956.672402819,NA,9342.99784039848,NA,1182.68315326982,383788.167263574,761.123721656782,25320.0257501232,72069.4843094928,23112.0428380793,20094.4850646022,44643.8026594289,49427.6644327696,715759.126440362,38757.6407101069,1654.68057798203,14006.4031433132,1328.57394394378,3064.73125550211
"5","percent_poc_bucket",5,0,0,0,0,0,0,692.444874621382,0,0,0,0,0,0,0,0,2399.33901640933,0,0,0,0,1471.7490461911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.427183260365,0,0,1739.96835895976,0,0,0,0,0,0,14293.8526882732,0,0,0,0,0,0,0,60783.2808441176,0,6.72401132906745,0,0,0,0,0,0,0,0,0,0,0,0,0,9227.65484555819,8934.47273504873,0,0,0,33393.4027607742,625.771576245742,0,0,0,851.531507801164,21037.4624612779,1386.07417434486,89712.7974496186,4674.22520043078,18011.5273775216,6642.48246606839,8121.81217841331,NA,51552.2998094868,126519.342225407,5036.6669352889,15373.8164573861,90574.2382808906,NA,9318.59460268404,11570.9556309208,636227.021706793,18167.822773825,40538.3492784174,4439.4003914887,7230.89140987814,12755.5637236947,NA,5613.62775837411,267353.468020069,103781.324967706,NA,57705.0217893076,12442.1242677016,55782.7151678781,92271.1026706373,3391.6543951058,NA,11237.8283152066,10757.50012909,1117.17934558826,2333.95269854552,5169.01943163947,69606.9464406619,3588.40538423189,11218.1404810339,30200.3446733148,3119.02785266587,NA,9741.14567298956,3715.96309756779,30555.7684501342,1886.32508520992,3360.19268202914,1978.67599668539,25874.8028895519,26193.7574916491,1207.569249564,5725.43364858561,92386.4488437008,5956.45796340616,1078.52039317113,966.5038218128,4808.96357366451,69945.6141520825,23.4422316434501,127813.021423816,683272.706867944,17997.4495042988,112904.282007799,141.90867163347,54218.2531134421,NA,17640.2452557985,345673.656956174,18998.9604304251,18534.960971866,75145.8269925807,5015.33803840402,236360.523088479,36250.1145116929,2618.24490057091,12156.5201908696,22027.1711584654,17208.5927549012
"6","percent_poc_bucket",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6260.52851131747,0,0,0,0,2366.36979523483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815.76158694157,0,0,2038.91181870969,0,0,0,0,0,0,18330.2014635468,0,0,0,0,0,0,0,66163.5099559483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15867.3436776202,13320.9088771618,0,0,0,35827.1578947368,904.100671904765,0,0,0,870.032765433946,15049.8844150234,610.356172221428,34874.7977122097,4066.71408949152,734.945042200279,4823.72158238413,8510.93263356054,NA,3628.70201422857,283662.632453938,1648.10765436247,5209.83570550493,11390.2190586481,NA,10987.4112217156,9585.47054481963,NA,31617.4816217338,4569.76658602849,5940.41627285301,18404.0904951243,19201.972613071,NA,1987.05761843384,103629.880125915,NA,357879.115291364,74143.8921383259,38215.5285066184,1794.1091958008,314814.219568606,40112.5689560973,NA,NA,NA,1539.04506199511,3326.992950218,3978.28760199566,14846.7516438199,3384.47157526441,8597.54920997804,28311.0697748877,3224.67831182802,NA,16132.9472104323,3163.97421946932,30211.1162323752,2057.07866510416,10399.7650266986,1951.35492850973,69948.5345550393,14377.7496479891,594.159648320865,12711.7682220928,100622.155518257,5976.17154977608,1354.16986695122,1001.03960619013,2953.97280680772,2132.16622717062,NA,48496.0696094572,NA,12495.4183347636,NA,432.351272272593,NA,21690.9245325687,21513.2826904639,17475.8430171798,22879.4763730091,18279.6405436774,24123.7075754304,44269.98216627,608.159120021552,39303.3872146861,2292.52636405319,18690.8647766205,9135.84764255957,13423.8440188482
"7","percent_poc_bucket",7,0,0,0,0,0,0,1030.15602196132,0,0,0,0,0,0,0,0,6368.01283995495,0,0,0,0,2568.47749655333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1488.14743098072,0,0,2388.29047312249,0,0,0,0,0,0,19075.9214513513,0,0,0,0,0,0,0,66864.721736175,0,420.415507225705,0,0,0,0,0,0,0,0,0,0,0,0,0,10104.1501788823,9438.02082336782,0,0,0,31621.6998168997,819.959316917094,0,0,0,341.353208142482,4626.93151217345,470.716131145155,106792.045532235,3518.89523841289,2844.70842849425,7378.71434228436,16784.563035467,8807.71969913962,12667.0805518982,3662.06536691808,1388.0791760362,15306.543845563,5159.82937156087,45930.0367954825,11195.7451390044,5415.63928493411,1198737.49087461,19382.4134640079,4018.77572016461,5124.64655852991,7481.82872836612,3374.28791247793,2859580.30892999,18030.247921039,987340.067743975,305459.450471207,125029.007729793,36685.239166042,9852.2414695823,19404.6082773971,NA,416.69079311614,43646.0611021699,15794.0298507463,NA,298.81272946013,3282.08520807952,20264.3166328522,3215.02057613169,3363.67524882784,5313.9097305257,27139.8515255343,3248.22400477761,814725.576904239,1328.9965500368,4202.88916374374,27007.7731549464,1736.28381784574,1127.22939051116,1680.15334735889,38708.0046756451,4119.62738794202,676.285521029198,2316.21741313721,96283.3458481768,5380.47237004196,1296.20910850575,967.275293042662,3748.55484809906,8071.84363444268,NA,91057.1945835945,NA,16434.7785504523,429795.619703978,NA,874789.207419899,7029.00738443964,14129.4088869019,5880.29376761357,21951.2911770775,14479.1779003211,30875.5764670737,3161.96304394885,1753.20669850744,34654.9683372434,2219.90001063051,6585.50892461185,51928.1234587358,5598.91050297219
"8","percent_poc_bucket",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2203.73121847493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195.77103852607,0,0,1.74802368963448,0,0,0,0,0,0,7.39648829867724,0,0,0,0,0,0,0,70820.7278420095,0,40.2761216074158,0,0,0,0,0,0,0,0,0,0,0,0,0,18887.025413098,14480.2152382356,0,0,0,31118.716131115,739.895169940733,0,0,0,270.653324500217,8185.68245059969,373.543704940257,62505.0269946567,2462.08269544874,1254.04715217292,4133.23893875263,8863.49770361547,9199.98233866013,11322.9758536798,841.301611448979,2564.23647048843,7061.38598647818,7357.06951020487,6687.66888421291,10161.7734638951,2093.88632758923,1047510.90971424,19799.4987468672,10280.8788833384,6191.49079211591,13754.8620940451,38141.4037169102,NA,4238.86223840704,116716.212698957,32012.7453217553,767389.041684572,12110.0794874245,2429.25492617609,NA,48340.2394293503,72942.6364601858,521145.843910094,15624.0043800234,NA,612.880037562275,2660.62449776145,NA,231999.783127304,3571.25364240579,6236.48020184814,27642.1775824303,3428.77603703196,183950.265078573,831.990839792304,4367.32925615959,24150.6065488319,1903.34271435315,3243.02020749688,1628.68199685997,52058.2765125682,4346.39665169885,736.279509307467,NA,109490.313364955,5054.07387272348,1304.75579044813,721.105059251974,2964.54585194165,4069.26529477253,678.824796642276,34147.9089357224,NA,13131.1099796334,85329.2857135687,811.876959348066,27853.6393157516,7799.90437317239,5575.91588899912,15333.1994606845,26409.0818556425,22136.6164291217,16984.2942781742,13454.3656287403,1210.5772331506,34211.6934957865,1718.95143962183,7636.50636960996,14437.4362938785,11001.8087875618
"9","percent_poc_bucket",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6384.58089650685,0,0,0,0,1576.69142097884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2177.1859956559,0,0,2541.51206570779,0,0,0,0,0,0,18449.4411291431,0,0,0,0,0,0,0,99139.6232795266,0,16.2015665431116,0,0,0,0,0,0,0,0,0,0,0,0,0,23041.4287710454,18019.396953827,0,0,0,48502.1457334633,1221.59761321164,0,0,0,557.028247089918,16926.0142814348,314.21003970123,68127.4236055148,3454.88317890649,256.534577012963,4538.00851242339,10258.7888972592,15064.0663767284,16807.5755515707,1755.28413661962,1546.48936577291,13395.2445903688,48404.8556352222,779136.362261718,11362.3859911689,7085.7275609517,NA,29465.7849351701,806.984529035351,7316.85512126799,7279.00316630285,9493.18765695811,NA,6424.55608284353,2069365.11878156,12148.6656260534,NA,5533.1862814857,2595.84239498649,19124.548395979,10323.6328573033,51041.6353759759,NA,18234.3064746346,19240.0932759722,586.965672570423,3113.94156368022,146.226722135004,2878.57887386459,3610.07128792593,6328.18682363035,29979.8065862933,3724.20096792909,251618.037884502,547.873592134342,3576.92165274546,31279.5644834668,1943.304908493,16293.7462000816,2285.94148700706,31649.572767695,132295.798796758,262.827053864793,2668.66806105106,120894.555288839,6114.72814728132,1481.0716864149,838.736329750277,5487.76735057925,1528.20094060912,37.8945846622938,38628.0935186348,2649436.10509166,10954.0540677229,13755.9667082085,85.9613765434823,33432.4984773918,7174.14807841634,7488.90596001213,103966.73797881,25131.6876254656,21038.2137270204,16981.5893833479,5513.12667476074,8986.76250870562,53261.2512929549,2846.16479294151,1359.42812410288,1018.46129226077,5624.05196142498
"10","percent_poc_bucket",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86994.5511077946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9421.87787715092,7012.92536788678,0,0,0,31260.8096029998,118.671457948065,0,0,0,356.463031219032,115835.316206438,1830.03989911047,154005.57930452,3900.83637394328,494.170504344609,9194.32474407927,7170.23966778563,NA,15942.5880207343,84939.7564777182,2483.23814253787,10471.9093395997,42946.0834537647,38684.0932298109,15206.2735822493,15262.9811654812,NA,14629.2208964212,9919.63826435448,9794.7261496619,22479.5683176655,1330.46839139719,NA,4477.9677883652,30485.906537516,5013.83008876631,249134.803819372,132009.984087059,8409.0358912941,41931.7584035814,30470.1761067087,29548.7629780656,80273.2599408402,6651.99974168819,19536.1439898752,805.429542681843,3888.78686727943,NA,2514.46168935165,3364.9986644334,4154.47645826923,27810.3094981463,3346.53360853814,1147990.53064682,3021.26061091904,2366.58020207387,43177.9571623525,1786.84137307053,15087.7304910273,2610.3396049214,11696.8451797741,90962.0659759235,25.1028932118601,85483.6525782574,104117.239502758,6954.33010518759,1791.58529418272,1233.81250964589,2980.68210471154,26392.4272339341,367.428826189415,288689.132969536,621521.036063392,9892.31771589596,NA,8615.03050784051,55319.3636707328,45935.6166397178,9365.66024649666,9810.62150419815,18116.1081179801,15580.1516904486,22858.1713942986,2376.42020812688,160333.493666827,37468.3274688814,3072.28233245496,3827.5221057323,24605.7443224446,6376.44400297989
