"","program","share_funds_in_disadvantaged_counties","share_us_pop_in_funded_disadvantaged_counties","share_funds_in_poverty_counties","share_us_pop_in_funded_poverty_counties"
"48","fta_5307_5340",0.120767199839802,0.165229409430776,0.025145748233234,0.0361074535483329
"49","fta_5310",0.147273750199273,0.136366367839893,0.0331126400755173,0.0296557377752981
"50","fta_5337_combined",0.0839721274475575,0.0986442336616739,0.0155638369503504,0.0175102991593942
"51","fta_5339",0.134297407273023,0.136366367839893,0.0238916423063621,0.0296557377752981
"52","fta_rail_vehicle",0.24632602950736,0.0157478735024603,0.14831070052746,0.00571891196014216
"53","grrp_comp",0.935325820676139,0.00999896987789063,0.273395394414503,0.00571891196014216
"54","grrp_elements",0.227345777181898,0.00499325132975982,0.0294916442700566,0.000923850594019296
"55","grrp_leading",0.0732933668536067,0.000329092724621315,0.109069812415394,0.000258928238351482
"56","hcv",0.254906367881922,0.186270805640868,0.0581289274133841,0.0432211840743073
"57","home",0.27634268620571,0.135777352410086,0.067439669667858,0.0276229323518544
"58","hud_disability",0.197214067505909,0.13637170703531,0.0710702185999324,0.0248411145188714
"59","hud_esg",0.322217758786153,0.118866671273554,0.0895779279340879,0.0226953370565848
"60","hud_hopwa",0.315496334703922,0.0918638132486364,0.0846002290979806,0.0154556094017574
"61","indian_health",0.856914447360385,0.0111895285940989,0.510622936715545,0.00173496260634913
"62","indian_water",0.704747560811732,0.00177135160316058,0.271722466444755,0.0012790177539496
"63","infra",0.22692690869031,0.0223939984460122,0.0724049072821017,0.0126250354066576
"64","land_port",0.643300798580302,0.00587107448163659,0.349600709849157,0.00440860185191069
"65","low_no_emission",0.210320564487133,0.0895054078621384,0.0722600801891729,0.0199116030557977
"66","mega",0.156973676776166,0.00691021349456567,0.0332715945340786,0.00479506136612286
"67","motor_carrier_safety",0.431333937943016,0.00852385721086204,0,0
"68","national_lab",0,0,0,0
"69","natural_gas",0.2983796811881,0.010099753634182,0.213075904687856,0.00638759994937436
"70","ntia_middle_mile",0.364361615433239,0.0560927866178333,0.0962873922232777,0.0080013346230032
"71","ports",0.19526746502658,0.0106133472439031,0.0295342935373532,0.00171027072249374
"72","public_hsg",0.484649497157222,0.191357818820852,0.177800347662379,0.0383202119902527
"73","public_hsg_cap",0.476798415220237,0.191002627405633,0.171894104084119,0.0383248477822977
"74","raise",0.312692755859933,0.116782756924994,0.103937414022211,0.0200695443998153
"75","reconnect_community",0.297730812980022,0.0862564968397057,0.0752778740431422,0.0107176176979393
"76","rural_surface",0.300602587579416,0.00476375385228558,0.187231889893997,0.000757929260032751
"77","s8_project",0.254399346468578,0.209014071147844,0.0520775520736349,0.0465152402527576
"78","safe_streets",0.263186195975253,0.149467828658312,0.0507735871477438,0.0257057397618063
"79","smart_grid",0.0442962158815267,0.00154017444694667,0,0
"80","tribal_broadband",0.617656311245672,0.0228054075565217,0.253185600151979,0.001701748020441
"81","ttp",0.620537368079589,0.0438448633435207,0.295892137709879,0.00657308923748698
