"","program","percent_poc_concentration","poverty_rate_concentration","med_hh_income_concentration","pop_density_concentration","access_to_car_concentration","age_over_64_concentration","age_under_18_concentration","airports_primary_concentration","annual_vehicle_mi_per_hh_concentration","avg_hh_person_trips_concentration","bridges_concentration","bridges_poor_condition_concentration","broadband_speed_concentration","capacity_environment_concentration","capacity_housing_concentration","capacity_transport_concentration","cnw_500_concentration","commute_time_concentration","contaminated_sites_concentration","diesel_pm_concentration","docks_concentration","employment_access_index_concentration","energy_cost_hh_concentration","freq_fatal_accidents_concentration","ghg_per_acre_concentration","green_commute_concentration","hh_int_access_concentration","highway_miles_concentration","homelessness_concentration","housing_cost_burden_concentration","housing_units_concentration","hud_202_concentration","hud_hcv_concentration","hud_pbs8_concentration","hud_ph_concentration","incomplete_kitchen_concentration","incomplete_plumbing_concentration","intercity_km_concentration","overcrowded_housing_concentration","ozone_concentration","permits_concentration","pm25_concentration","pub_transit_commute_concentration","pub_transit_stops_concentration","rail_transit_km_concentration","rr_freight_route_miles_concentration","rr_incident_killed_concentration","rr_incident_number_concentration","rr_pax_route_miles_concentration","stations_elevated_concentration","stations_subway_concentration","superfund_site_concentration","transport_costs_concentration","transport_trade_jobs_concentration","vacancy_rate_concentration","water_system_violations_concentration"
"1","acp_outreach",0.417075604603035,-0.0221786594471882,-0.0160640610747471,0.285431252596259,NA,NA,NA,NA,NA,NA,NA,NA,-0.162862207608115,NA,0.000286809143031919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00438469978194855,NA,NA,-0.220298301647386,0.303621680460858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ag_rcpp",-0.753902643257438,0.796295505922267,-0.169721400185161,-0.966255827747974,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.173408741778392,NA,NA,-0.432688464933974,NA,0.324591252453237,-0.372055095039052,NA,NA,NA,NA,-0.758647861171072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.499431070282604,NA,-0.947156266764859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43703406166245
"3","ag_reap",-0.360686036619426,0.722852742589975,0.920925970335926,-0.820833198751535,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.516072362395816,NA,NA,NA,NA,NA,-0.76920420912258,NA,NA,1.43557358223664,NA,-0.67808881688912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.682768411317879,NA,-0.671287947088438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ag_reconnect",-0.108319029755405,1.28716125917327,1.95399731400207,-0.993878609427589,NA,NA,NA,NA,NA,NA,NA,NA,1.88295821939572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94830466535706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ag_urban_forest",-0.0616597988605344,-0.181288971484736,-0.419554530213207,-0.053987674321586,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0624047796504699,NA,NA,NA,NA,NA,0.113351982812403,NA,NA,NA,NA,0.165459048778269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0685373991697922,NA,-0.171259693845091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","airport_infrastructure_comp",-0.0115377641378731,0.593644306642691,1.07204744490945,-0.86188659084285,NA,NA,NA,0.826647300144292,NA,NA,NA,NA,NA,NA,NA,0.248140756216563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","airport_infrastructure_formula",0.266248840006652,-0.396377161448925,-0.306697083678623,-0.343348544434887,NA,NA,NA,0.341554104939079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","airport_terminal",0.0752243321026436,-0.447310794260819,-0.443812174916145,0.145913461998766,NA,NA,NA,0.128311310535928,NA,NA,NA,NA,NA,NA,NA,-0.118350613589712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","asap",-1,-0.955237209243049,-0.953805047483522,2.24406068722995,NA,NA,NA,NA,NA,0.743569999906849,NA,NA,NA,NA,NA,-0.398346771715421,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36262094992503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68349039260769,0.827225418645988,NA,NA,NA,NA,NA,2.10416379625157,2.68283135954273,NA,-1,NA,NA,NA
"10","bric",0.0190909863927551,0.17681969320632,-0.112361876820972,0.12197450816794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","bridge",-0.341996432904877,-0.0931273502359654,-0.0517725032942112,-0.681408354945928,NA,NA,NA,NA,NA,-0.99757633304642,0.159387679543958,-0.272127239859832,NA,NA,NA,-0.336737744169643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","brownfield",-0.390125528156491,0.440613569190615,0.717422837408261,-0.499477765858587,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459040244083561,NA,NA,-0.153390342860074,NA,1.09763098628055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312037617142213,NA,NA,NA,0.757919333434241
