"","county","state","year","GISJOIN","GEO_ID","FIPS","total_county_pop","state_pop_shr","county_area","state_area_shr","ag_reconnect","airport_infrastructure","airport_terminal","asap","bridge","buses","capital_investment","clean_school_bus","doe_nuclear","doi_aging_infra","doi_rural_water","doi_water_recycle","doi_water_storage","ferry_rural_comms","fra_rail_cross","fs_wildfire","fta_rail_vehicle","indian_water","infra","low_no_emission","natural_gas","ntia_middle_mile","ports","raise","reconnect_community","rural_surface","safe_streets","tribal_broadband","cdbg_entitlement","coc","home","public_hsg","public_hsg_cap","elderly","hcv","s8_project","fy_2022_ttp","fta_5307_5340","fta_5310","fta_5339","fta_5337_combined"
"1","Autauga County","AL",2022,"G0100010","0500000US01001",1001,55639,0.011653219,1565308871,0.011701807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.315521628498728,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338319907940161,0.211839814277423,NA,0.0312046444121916,0.118758434547908,NA,0.219681908548708,0.378254211332312,0.300153139356815,NA
"2","Baldwin County","AL",2022,"G0100030","0500000US01003",1003,218289,0.045447333,4248013315,0.031756948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11704834605598,NA,NA,NA,NA,0.159517426273458,NA,NA,NA,NA,0.0845799769850403,0.0887986070806732,0.204545454545455,0.110304789550073,0.161043634727845,NA,0.146123260437376,0.0964777947932619,0.0811638591117917,NA
"3","Barbour County","AL",2022,"G0100050","0500000US01005",1005,25026,0.00505415,2342683685,0.017513242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483460559796438,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.936133486766398,0.967498549042368,NA,0.68577648766328,0.803418803418803,NA,NA,NA,NA,NA
"4","Bibb County","AL",2022,"G0100070","0500000US01007",1007,22374,0.004484485,1621761322,0.01212383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287531806615776,NA,NA,NA,NA,0.601876675603217,NA,NA,NA,NA,0.379171461449942,0.405107370864771,NA,NA,0.208726945569051,NA,NA,NA,NA,NA
"5","Blount County","AL",2022,"G0100090","0500000US01009",1009,57755,0.011782279,1685119485,0.012597478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.302949061662198,NA,NA,NA,NA,0.380897583429229,0.316889146836912,NA,0.0181422351233672,0.035987404408457,NA,0.0288270377733598,0.0336906584992343,0.0290964777947933,NA
"6","Bullock County","AL",2022,"G0100110","0500000US01011",1011,10173,0.002078166,1619114267,0.012104041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.709923664122137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Butler County","AL",2022,"G0100130","0500000US01013",1013,19726,0.003837985,2014703708,0.015061356,0.117886178861789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459361393323657,0.781376518218624,NA,NA,NA,NA,NA
"8","Calhoun County","AL",2022,"G0100150","0500000US01015",1015,114324,0.023295833,1585782312,0.011854861,NA,NA,NA,NA,NA,NA,NA,0.776859504132231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089058524173028,NA,NA,NA,NA,NA,NA,0.298850574712644,NA,0.507211538461538,0.876294591484465,0.809053975623912,0.743686868686869,0.397677793904209,0.57085020242915,NA,0.281312127236581,NA,NA,NA
"9","Chambers County","AL",2022,"G0100170","0500000US01017",1017,33427,0.006970041,1562057271,0.011677499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.934782608695652,0.414758269720102,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.907940161104718,0.912362159024956,NA,NA,0.291497975708502,NA,NA,NA,NA,NA
"10","Cherokee County","AL",2022,"G0100190","0500000US01019",1019,26035,0.004997324,1553931706,0.011616755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.644418872266974,0.6523505513639,NA,NA,0.302294197031039,NA,NA,NA,NA,NA
